run,protocol,n,recomputed_beta,stored_beta,error,rows,ci_low,ci_high
primary,random_pauli,32,-0.0274694461791518,-0.0274694461791513,4.5102810375397e-16,21367,-0.0295568213924571,-0.025389682871911
primary,random_pauli,64,-0.0357379924353805,-0.0357379924353813,7.56339435525888e-16,20989,-0.0381113756067352,-0.0333682330421959
primary,random_pauli,128,-0.0493076031167013,-0.0493076031167014,1.45716771982052e-16,19652,-0.0524166375079479,-0.0460460652157199
primary,random_pauli,256,-0.0522284319006521,-0.0522284319006525,4.30211422042248e-16,17440,-0.0559835425298436,-0.0484336387937403
primary,z_projective,32,-0.0292424990971611,-0.0292424990971607,4.19803081186387e-16,21391,-0.0313457550617444,-0.0271922205787247
primary,z_projective,64,-0.0387174824967637,-0.0387174824967644,6.93889390390723e-16,20994,-0.0411880467618378,-0.0362635128735679
primary,z_projective,128,-0.0448205778749555,-0.0448205778749557,1.87350135405495e-16,19973,-0.0478668636482822,-0.0414080673412861
primary,z_projective,256,-0.0521300363925818,-0.052130036392582,1.59594559789866e-16,17630,-0.0557866374559058,-0.0484178043479646
replication,random_pauli,32,-0.0281680416696833,-0.028168041669683,3.29597460435593e-16,7781,-0.0316546733470791,-0.0248773599425065
replication,random_pauli,64,-0.039109225207837,-0.0391092252078369,7.63278329429795e-17,7614,-0.0430884507936961,-0.0349371480991924
replication,random_pauli,128,-0.0441202888370158,-0.044120288837016,2.42861286636753e-16,6919,-0.0497172117589968,-0.0387881425613695
replication,random_pauli,256,-0.0521450900796163,-0.0521450900796164,1.45716771982052e-16,5921,-0.0585249750283402,-0.0458232375511227
replication,z_projective,32,-0.0278771539966481,-0.0278771539966478,3.01841884819964e-16,7869,-0.0313424030284525,-0.0242627184693768
replication,z_projective,64,-0.0374183092780163,-0.0374183092780162,1.38777878078145e-16,7604,-0.0416652440597772,-0.0329151335967867
replication,z_projective,128,-0.0455196605364888,-0.0455196605364892,3.88578058618805e-16,6997,-0.0504839404987321,-0.0402208057884212
replication,z_projective,256,-0.0455090091417618,-0.045509009141762,1.87350135405495e-16,6122,-0.0516817352552429,-0.0393623276390781
