curve,n,p,distance,estimate,ci_low,ci_high,trajectories,nonzero_trajectories
original,64,0.2,0,-0.0595375722681972,-0.06614785993758,-0.0529297808232199,519,223
original,64,0.2,1,-0.0636521739278635,-0.0731517409556197,-0.0545134984267638,575,176
original,64,0.2,2,-0.0228040540593635,-0.0283277170006502,-0.017796325791881,592,79
original,64,0.2,4,-0.00785953177440519,-0.011073825505934,-0.00500000000116416,598,28
original,64,0.2,8,-0.00166666666705472,-0.00300000000069849,-0.000666666666821887,600,8
original,64,0.2,16,-0.000666666666821887,-0.00166666666705472,0,600,2
original,64,0.26,0,-0.0458801498234162,-0.0516922117676602,-0.0403377110788101,534,190
original,64,0.26,1,-0.0356775300254594,-0.0422951780219098,-0.0293910578284478,583,116
original,64,0.26,2,-0.0181972789158015,-0.0232213245716062,-0.0135273972634236,588,60
original,64,0.26,4,-0.00616666666810246,-0.00916666666880095,-0.00350000000081491,600,22
original,64,0.26,8,-0.000666666666821887,-0.00166666666705472,0,600,2
original,64,0.26,16,0,0,0,600,0
original,64,0.34,0,-0.0392660550550138,-0.0446732908939724,-0.0341818181897767,545,174
original,64,0.34,1,-0.0345890411039438,-0.0417241379407491,-0.0278632478697353,584,104
original,64,0.34,2,-0.0132550335601332,-0.0175384573125936,-0.00925887021690833,596,43
original,64,0.34,4,-0.00401337792735584,-0.00636515913046023,-0.00200668896367792,598,15
original,64,0.34,8,-0.0011666666669383,-0.00250000000058208,-0.000166666666705472,600,4
original,64,0.34,16,0,0,0,600,0
original,128,0.2,0,-0.0615384615384616,-0.0683208487787726,-0.0550387596899225,520,228
original,128,0.2,1,-0.0555555555555555,-0.0642248722316866,-0.0473594548551959,585,162
original,128,0.2,2,-0.0243654822335025,-0.0302721088435374,-0.0190152801358234,591,83
original,128,0.2,4,-0.00551839464882943,-0.00819397993311037,-0.00317725752508361,598,22
original,128,0.2,8,-0.00133333333333333,-0.00266666666666667,-0.000333333333333333,600,6
original,128,0.2,16,-0.000666666666666667,-0.00166666666666667,0,600,2
original,128,0.26,0,-0.0498091603053436,-0.056075111218402,-0.0435699605537993,524,193
original,128,0.26,1,-0.0358620689655172,-0.0427101200686106,-0.0295652173913043,580,114
original,128,0.26,2,-0.0175084175084175,-0.0223154362416107,-0.0129406336360047,594,61
original,128,0.26,4,-0.00633333333333333,-0.00966666666666667,-0.0035,600,21
original,128,0.26,8,-0.00166666666666667,-0.00316666666666667,-0.0005,600,6
original,128,0.26,16,-0.0005,-0.00133333333333333,0,600,2
original,128,0.34,0,-0.0369090909090909,-0.0420958301083592,-0.0321234119782214,550,170
original,128,0.34,1,-0.032,-0.0386873920552677,-0.0256543368388577,575,108
original,128,0.34,2,-0.0163879598662207,-0.0210711164518243,-0.0118530884808013,598,55
original,128,0.34,4,-0.00516666666666667,-0.00783333333333333,-0.00283333333333333,600,18
original,128,0.34,8,-0.000333333333333333,-0.000833333333333333,0,600,2
original,128,0.34,16,0,0,0,600,0
original,256,0.2,0,-0.0522900763358779,-0.0587890901908082,-0.0460799297570858,524,198
original,256,0.2,1,-0.0525129982668977,-0.0609593217507518,-0.0444061962134251,577,147
original,256,0.2,2,-0.026565143824027,-0.0327731092436974,-0.0206081081081081,591,81
original,256,0.2,4,-0.00769230769230769,-0.0110557401099457,-0.00467445742904841,598,25
original,256,0.2,8,-0.00133333333333333,-0.00266666666666667,-0.000333333333333333,600,5
original,256,0.2,16,-0.000333333333333333,-0.001,0,600,1
original,256,0.26,0,-0.0458733205374281,-0.0517050352664578,-0.0403041825095057,521,184
original,256,0.26,1,-0.0450342465753425,-0.0524701873935264,-0.0379487179487179,584,145
original,256,0.26,2,-0.0158249158249158,-0.0202702702702703,-0.0118038876681373,594,58
original,256,0.26,4,-0.00333889816360601,-0.00533333333333333,-0.00166666666666667,599,14
original,256,0.26,8,-0.001,-0.00233333333333333,0,600,3
original,256,0.26,16,-0.000333333333333333,-0.001,0,600,1
original,256,0.34,0,-0.0365280289330922,-0.0417112299465241,-0.0315214916448879,553,164
original,256,0.34,1,-0.0385008517887564,-0.0461406518010291,-0.0311336717428088,587,114
original,256,0.34,2,-0.011241610738255,-0.0157197217973928,-0.00733333333333333,596,35
original,256,0.34,4,-0.00250417362270451,-0.00417362270450751,-0.00116666666666667,599,11
original,256,0.34,8,-0.000833333333333333,-0.002,0,600,3
original,256,0.34,16,0,0,0,600,0
