run,family,n,tau,p,eligible,mean,contrast
primary,haar_z,10,6,0.08,12,0.25519717458013974,-0.2356052083490603
primary,haar_z,10,6,0.24,12,0.019591966231079436,-0.2356052083490603
primary,haar_z,10,8,0.08,12,0.2447873267622196,-0.28027967931345765
primary,haar_z,10,8,0.24,11,-0.035492352551238046,-0.28027967931345765
primary,haar_z,12,6,0.08,12,0.42792942467983036,-0.1973565128099108
primary,haar_z,12,6,0.24,12,0.23057291186991957,-0.1973565128099108
primary,haar_z,12,8,0.08,12,0.4421027304176033,-0.20936472714147622
primary,haar_z,12,8,0.24,12,0.23273800327612706,-0.20936472714147622
primary,haar_z,14,6,0.08,12,0.3015737507318951,-0.3102150611351501
primary,haar_z,14,6,0.24,12,-0.008641310403255076,-0.3102150611351501
primary,haar_z,14,8,0.08,12,0.26855532224190526,-0.3107775339097326
primary,haar_z,14,8,0.24,12,-0.04222221166782734,-0.3107775339097326
independent,haar_z,10,6,0.08,8,0.2055824877962824,-0.16728406667310283
independent,haar_z,10,6,0.24,7,0.03829842112317957,-0.16728406667310283
independent,haar_z,10,8,0.08,8,0.19758872686363133,-0.19176409393179278
independent,haar_z,10,8,0.24,8,0.00582463293183856,-0.19176409393179278
independent,haar_z,12,6,0.08,8,0.38106529396297806,-0.160286436986913
independent,haar_z,12,6,0.24,8,0.22077885697606506,-0.160286436986913
independent,haar_z,12,8,0.08,8,0.42637665801063673,-0.2398088791557677
independent,haar_z,12,8,0.24,8,0.18656777885486903,-0.2398088791557677
independent,haar_z,14,6,0.08,8,0.27105623931599204,-0.2474253811489758
independent,haar_z,14,6,0.24,8,0.023630858167016246,-0.2474253811489758
independent,haar_z,14,8,0.08,8,0.33506340867256834,-0.23802528475884355
independent,haar_z,14,8,0.24,8,0.0970381239137248,-0.23802528475884355
primary,clifford_z,10,6,0.08,12,0.1834369288568799,-0.6113162860009734
primary,clifford_z,10,6,0.24,3,-0.42787935714409353,-0.6113162860009734
primary,clifford_z,10,8,0.08,12,0.1815432290951746,-0.45304867465581045
primary,clifford_z,10,8,0.24,3,-0.2715054455606359,-0.45304867465581045
primary,clifford_z,12,8,0.08,12,0.28039515457074576,-0.21190432122263897
primary,clifford_z,12,8,0.24,3,0.06849083334810681,-0.21190432122263897
primary,clifford_z,14,6,0.08,12,0.17342925181201138,-0.34588040266263587
primary,clifford_z,14,6,0.24,7,-0.1724511508506245,-0.34588040266263587
