run,family,cells,estimate,canonical,minimum_cell_contrast,maximum_cell_contrast
primary,haar_z,6,-0.2572664537764646,-0.2572664537764646,-0.3107775339097326,-0.1973565128099108
independent,haar_z,6,-0.2074323571092326,-0.20743235710923266,-0.2474253811489758,-0.160286436986913
primary,clifford_z,4,-0.40553742113551466,-0.4055374211355147,-0.6113162860009734,-0.21190432122263897
independent,clifford_z,4,-0.3192480972996521,-0.31924809729965203,-0.4335666181402577,-0.18313480801137766
primary,floquet_cartan_z,6,-0.20808060376372686,-0.20808060376372692,-0.26603231533262245,-0.13488623192510252
independent,floquet_cartan_z,6,-0.18477780051627954,-0.18477780051627954,-0.21709769752988098,-0.1296978843141134
primary,haar_random_pauli,6,-0.18815607711985502,-0.18815607711985494,-0.24944477139571566,-0.12181632536719747
independent,haar_random_pauli,6,-0.19769180981953915,-0.19769180981953918,-0.2849784929149311,-0.13243263394663884
primary,haar_weak_z_eta06,6,-0.18258769451128912,-0.1825876945112892,-0.22660599236141266,-0.1412832451213909
independent,haar_weak_z_eta06,6,-0.1781410249676129,-0.178141024967613,-0.23514557245326298,-0.10496018324243522
