run,cell,discovery_rows,counts_by_p,reference,max_error
primary,clifford_z|n10|tau6,21,"{""0.08"": 12, ""0.16"": 7, ""0.24"": 2}","[0.28482917250488715, 0.280725889481481, 0.21761366937200782, 0.21683126864162403]",5.551115123125783e-17
primary,clifford_z|n10|tau8,23,"{""0.08"": 12, ""0.16"": 8, ""0.24"": 3}","[0.25330341666672046, 0.25330341666672035, 0.24669658333327968, 0.24669658333327957]",8.326672684688674e-17
primary,clifford_z|n12|tau6,23,"{""0.08"": 12, ""0.16"": 7, ""0.24"": 4}","[0.2643482450398548, 0.25625423591673835, 0.24124254009261906, 0.23815497895078777]",5.551115123125783e-17
primary,clifford_z|n12|tau8,18,"{""0.08"": 11, ""0.16"": 5, ""0.24"": 2}","[0.25863032721511897, 0.2586303272151189, 0.2413696727848811, 0.24136967278488106]",5.551115123125783e-17
primary,clifford_z|n14|tau6,24,"{""0.08"": 12, ""0.16"": 10, ""0.24"": 2}","[0.2692879562961365, 0.2692879562961363, 0.23071204370386367, 0.23071204370386356]",8.326672684688674e-17
primary,clifford_z|n14|tau8,22,"{""0.08"": 11, ""0.16"": 7, ""0.24"": 4}","[0.25504772203413995, 0.2550477220341398, 0.2449522779658602, 0.24495227796586008]",5.551115123125783e-17
primary,floquet_cartan_z|n10|tau6,35,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 11}","[0.6969822225383594, 0.18522046345024565, 0.07880206017848623, 0.03899525383290879]",2.7755575615628914e-17
primary,floquet_cartan_z|n10|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.6764671066922979, 0.21518347230437757, 0.07513196150580105, 0.03321745949752343]",1.1102230246251565e-16
primary,floquet_cartan_z|n12|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.7332917225382816, 0.16844507298529193, 0.06673973427893427, 0.03152347019749227]",6.938893903907228e-18
primary,floquet_cartan_z|n12|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.7032782247097724, 0.19331485718438005, 0.06780468047677632, 0.035602237629071186]",2.7755575615628914e-17
primary,floquet_cartan_z|n14|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.670232692256899, 0.2038553382020799, 0.0781664349442454, 0.04774553459677569]",1.1102230246251565e-16
primary,floquet_cartan_z|n14|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.6629109698836655, 0.19396450019767764, 0.08618065588037924, 0.05694387403827775]",1.1102230246251565e-16
primary,haar_random_pauli|n10|tau6,35,"{""0.08"": 12, ""0.16"": 11, ""0.24"": 12}","[0.5675676880993576, 0.2395960384054478, 0.11990245939830227, 0.07293381409689227]",5.551115123125783e-17
primary,haar_random_pauli|n10|tau8,35,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 11}","[0.5262139675148898, 0.2479692282910802, 0.14158397440715106, 0.08423282978687893]",5.551115123125783e-17
primary,haar_random_pauli|n12|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.5736570946032883, 0.23539320977055123, 0.11655042618169248, 0.074399269444468]",5.551115123125783e-17
primary,haar_random_pauli|n12|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.5695107952452928, 0.2333483344674898, 0.12198745501318313, 0.07515341527403432]",2.7755575615628914e-17
primary,haar_random_pauli|n14|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.5417676828434091, 0.236629593090874, 0.1313908914536483, 0.09021183261206854]",2.7755575615628914e-17
primary,haar_random_pauli|n14|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.5167858380040918, 0.24635290873256935, 0.14361699826803345, 0.09324425499530545]",5.551115123125783e-17
primary,haar_weak_z_eta06|n10|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.423193422112655, 0.2595509635662363, 0.18086213105132407, 0.1363934832697847]",0.0
primary,haar_weak_z_eta06|n10|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.39622733611990935, 0.2734221645615965, 0.1860697487223667, 0.14428075059612747]",5.551115123125783e-17
primary,haar_weak_z_eta06|n12|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.39211492302897627, 0.2679517665352268, 0.19126684642383027, 0.1486664640119667]",2.7755575615628914e-17
primary,haar_weak_z_eta06|n12|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.41109309720286186, 0.24722050180956667, 0.19343753241023454, 0.1482488685773369]",5.551115123125783e-17
primary,haar_weak_z_eta06|n14|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.3734627432875842, 0.260458220634998, 0.20236484011385805, 0.1637141959635597]",5.551115123125783e-17
primary,haar_weak_z_eta06|n14|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.36017637090402504, 0.26301257200683126, 0.20471520292524076, 0.1720958541639029]",5.551115123125783e-17
primary,haar_z|n10|tau6,35,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 11}","[0.5678337983445254, 0.2536142773855006, 0.12053098174164766, 0.05802094252832632]",5.551115123125783e-17
primary,haar_z|n10|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.551433071969317, 0.26070680515893996, 0.11840065579892875, 0.0694594670728143]",1.1102230246251565e-16
primary,haar_z|n12|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.5822706285444401, 0.2299137470066176, 0.11409427966702672, 0.07372134478191558]",1.1102230246251565e-16
primary,haar_z|n12|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.588238562834624, 0.22833861438780317, 0.11448114668588245, 0.06894167609169037]",5.551115123125783e-17
primary,haar_z|n14|tau6,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.48463069748955023, 0.2612842550510199, 0.1552914659751725, 0.09879358148425749]",8.326672684688674e-17
primary,haar_z|n14|tau8,36,"{""0.08"": 12, ""0.16"": 12, ""0.24"": 12}","[0.5059536565842282, 0.25775004007817826, 0.1423139150454098, 0.09398238829218376]",5.551115123125783e-17
independent,clifford_z|n10|tau6,14,"{""0.08"": 8, ""0.16"": 5, ""0.24"": 1}","[0.30384193580302865, 0.2669916527807362, 0.21697678526370856, 0.21218962615252662]",5.551115123125783e-17
independent,clifford_z|n10|tau8,16,"{""0.08"": 7, ""0.16"": 5, ""0.24"": 4}","[0.2590371145779843, 0.25903711457798423, 0.24096288542201577, 0.24096288542201572]",5.551115123125783e-17
independent,clifford_z|n12|tau6,13,"{""0.08"": 8, ""0.16"": 3, ""0.24"": 2}","[0.28281160805583905, 0.2828116080558388, 0.21718839194416112, 0.217188391944161]",5.551115123125783e-17
