run,family,pool,clusters,eligible_rows,exact_rejection_probability
primary,haar_z,eligible_union,72,143,1.1215665478461509e-13
primary,haar_z,all_confirmatory,72,143,1.1215665478461509e-13
independent,haar_z,eligible_union,48,95,5.960464477539063e-08
independent,haar_z,all_confirmatory,48,95,5.960464477539063e-08
primary,clifford_z,eligible_union,51,64,0.02048
primary,clifford_z,all_confirmatory,72,64,0.09154393119853518
independent,clifford_z,eligible_union,37,45,0.01699680070404285
independent,clifford_z,all_confirmatory,48,45,0.053536104411491835
primary,floquet_cartan_z,eligible_union,72,142,2.2431330956921758e-13
primary,floquet_cartan_z,all_confirmatory,72,142,2.2431330956921758e-13
independent,floquet_cartan_z,eligible_union,48,94,1.1920928955078125e-07
independent,floquet_cartan_z,all_confirmatory,48,94,1.1920928955078125e-07
primary,haar_random_pauli,eligible_union,72,143,1.1215665478461509e-13
primary,haar_random_pauli,all_confirmatory,72,143,1.1215665478461509e-13
independent,haar_random_pauli,eligible_union,48,96,0.0
independent,haar_random_pauli,all_confirmatory,48,96,0.0
primary,haar_weak_z_eta06,eligible_union,72,144,0.0
primary,haar_weak_z_eta06,all_confirmatory,72,144,0.0
independent,haar_weak_z_eta06,eligible_union,48,96,0.0
independent,haar_weak_z_eta06,all_confirmatory,48,96,0.0
