estimand,n,p,trajectories,estimate,positive,negative,zero
original_unconditional,64,0.2,600,0.082666666685914,234,198,168
original_unconditional,64,0.26,600,0.07466666668405135,194,171,235
original_unconditional,64,0.34,600,0.06583333334866136,176,162,262
original_unconditional,128,0.2,600,0.07816666666666666,220,200,180
original_unconditional,128,0.26,600,0.0765,209,163,228
original_unconditional,128,0.34,600,0.05633333333333333,163,161,276
original_unconditional,256,0.2,600,0.07816666666666666,219,171,210
original_unconditional,256,0.26,600,0.07916666666666666,187,177,236
original_unconditional,256,0.34,600,0.051166666666666666,141,151,308
original_conditional,64,0.2,519,-0.05876685935857675,2,223,294
original_conditional,64,0.26,534,-0.045880149823416386,0,190,344
original_conditional,64,0.34,545,-0.0392660550550139,0,174,371
original_conditional,128,0.2,520,-0.06153846153846154,0,228,292
original_conditional,128,0.26,524,-0.04980916030534351,0,193,331
original_conditional,128,0.34,550,-0.03690909090909091,0,170,380
original_conditional,256,0.2,524,-0.052290076335877865,0,198,326
original_conditional,256,0.26,521,-0.04587332053742802,0,184,337
original_conditional,256,0.34,553,-0.036528028933092226,0,164,389
strict_same_side,64,0.2,517,-0.05880077370808134,2,221,294
strict_same_side,64,0.26,533,-0.04577861164292883,0,189,344
strict_same_side,64,0.34,545,-0.0392660550550139,0,174,371
strict_same_side,128,0.2,520,-0.06153846153846154,0,228,292
strict_same_side,128,0.26,524,-0.05,0,193,331
strict_same_side,128,0.34,550,-0.03690909090909091,0,170,380
strict_same_side,256,0.2,524,-0.05248091603053435,0,198,326
strict_same_side,256,0.26,520,-0.04596153846153846,0,184,336
strict_same_side,256,0.34,553,-0.036528028933092226,0,164,389
