population,distance,estimate,trajectories,nonzero_trajectories
original,0,-0.04751465730065798,4790,1724
original,1,-0.043709385134370705,5230,1186
original,2,-0.018461099614515215,5340,555
original,4,-0.005399261166367904,5390,176
original,8,-0.0011111111112016563,5400,39
original,16,-0.0002777777777950245,5400,8
common,0,-0.05486150795071581,4025,1488
common,1,-0.048977250827973724,4025,923
common,2,-0.022101384939506735,4025,388
common,4,-0.006556062287769749,4025,119
common,8,-0.0009036075026256913,4025,20
common,16,-0.0002814911588353384,4025,5
