population,distance,n,p,trajectories,estimate,positive,negative,zero
original,0,64,0.2,519,-0.05953757226819743,0,223,296
original,0,64,0.26,534,-0.045880149823416386,0,190,344
original,0,64,0.34,545,-0.0392660550550139,0,174,371
original,0,128,0.2,520,-0.06153846153846154,0,228,292
original,0,128,0.26,524,-0.04980916030534351,0,193,331
original,0,128,0.34,550,-0.03690909090909091,0,170,380
original,0,256,0.2,524,-0.052290076335877865,0,198,326
original,0,256,0.26,521,-0.04587332053742802,0,184,337
original,0,256,0.34,553,-0.036528028933092226,0,164,389
original,1,64,0.2,575,-0.06365217392786365,0,176,399
original,1,64,0.26,583,-0.03567753002545948,0,116,467
original,1,64,0.34,584,-0.0345890411039438,0,104,480
original,1,128,0.2,585,-0.05555555555555555,0,162,423
original,1,128,0.26,580,-0.03586206896551724,0,114,466
original,1,128,0.34,575,-0.032,0,108,467
original,1,256,0.2,577,-0.052512998266897745,0,147,430
original,1,256,0.26,584,-0.04503424657534247,0,145,439
original,1,256,0.34,587,-0.03850085178875639,0,114,473
original,2,64,0.2,592,-0.022804054059363536,0,79,513
original,2,64,0.26,588,-0.01819727891580151,0,60,528
original,2,64,0.34,596,-0.013255033560133158,0,43,553
original,2,128,0.2,591,-0.024365482233502538,0,83,508
original,2,128,0.26,594,-0.017508417508417508,0,61,533
original,2,128,0.34,598,-0.016387959866220735,0,55,543
original,2,256,0.2,591,-0.02656514382402707,0,81,510
original,2,256,0.26,594,-0.015824915824915825,0,58,536
original,2,256,0.34,596,-0.011241610738255034,0,35,561
original,4,64,0.2,598,-0.00785953177440519,0,28,570
original,4,64,0.26,600,-0.006166666668102456,0,22,578
original,4,64,0.34,598,-0.004013377927355842,0,15,583
original,4,128,0.2,598,-0.005518394648829431,0,22,576
original,4,128,0.26,600,-0.006333333333333333,0,21,579
original,4,128,0.34,600,-0.005166666666666667,0,18,582
original,4,256,0.2,598,-0.007692307692307693,0,25,573
original,4,256,0.26,599,-0.00333889816360601,0,14,585
original,4,256,0.34,599,-0.0025041736227045075,0,11,588
original,8,64,0.2,600,-0.0016666666670547177,0,8,592
original,8,64,0.26,600,-0.0006666666668218871,0,2,598
original,8,64,0.34,600,-0.0011666666669383023,0,4,596
original,8,128,0.2,600,-0.0013333333333333333,0,6,594
original,8,128,0.26,600,-0.0016666666666666668,0,6,594
original,8,128,0.34,600,-0.0003333333333333333,0,2,598
original,8,256,0.2,600,-0.0013333333333333333,0,5,595
original,8,256,0.26,600,-0.001,0,3,597
original,8,256,0.34,600,-0.0008333333333333334,0,3,597
original,16,64,0.2,600,-0.0006666666668218871,0,2,598
original,16,64,0.26,600,0.0,0,0,600
original,16,64,0.34,600,0.0,0,0,600
original,16,128,0.2,600,-0.0006666666666666666,0,2,598
original,16,128,0.26,600,-0.0005,0,2,598
original,16,128,0.34,600,0.0,0,0,600
original,16,256,0.2,600,-0.0003333333333333333,0,1,599
original,16,256,0.26,600,-0.0003333333333333333,0,1,599
original,16,256,0.34,600,0.0,0,0,600
common,0,64,0.2,424,-0.07004716982762989,0,187,237
common,0,64,0.26,445,-0.05438202248457191,0,164,281
common,0,64,0.34,461,-0.04338394794936359,0,151,310
common,0,128,0.2,442,-0.06968325791855204,0,192,250
common,0,128,0.26,430,-0.0586046511627907,0,168,262
common,0,128,0.34,480,-0.041875,0,154,326
common,0,256,0.2,434,-0.05967741935483871,0,165,269
common,0,256,0.26,433,-0.05450346420323326,0,159,274
common,0,256,0.34,476,-0.04159663865546218,0,148,328
common,1,64,0.2,424,-0.06698113209106696,0,124,300
common,1,64,0.26,445,-0.04314606742577606,0,92,353
common,1,64,0.34,461,-0.03882863341468041,0,83,378
common,1,128,0.2,442,-0.06244343891402715,0,131,311
common,1,128,0.26,430,-0.044651162790697675,0,90,340
common,1,128,0.34,480,-0.03770833333333334,0,95,385
common,1,256,0.2,434,-0.061981566820276494,0,116,318
common,1,256,0.26,433,-0.046189376443418015,0,105,328
common,1,256,0.34,476,-0.038865546218487396,0,87,389
common,2,64,0.2,424,-0.025943396232455514,0,51,373
common,2,64,0.26,445,-0.02179775281406395,0,42,403
common,2,64,0.34,461,-0.01887201735797316,0,33,428
common,2,128,0.2,442,-0.024434389140271493,0,51,391
common,2,128,0.26,430,-0.021627906976744184,0,45,385
common,2,128,0.34,480,-0.022291666666666668,0,44,436
common,2,256,0.2,434,-0.03225806451612903,0,57,377
common,2,256,0.26,433,-0.022863741339491917,0,45,388
common,2,256,0.34,476,-0.008823529411764706,0,20,456
common,4,64,0.2,424,-0.010849056606299578,0,19,405
common,4,64,0.26,445,-0.00674157303527751,0,14,431
common,4,64,0.34,461,-0.005422993493670448,0,10,451
common,4,128,0.2,442,-0.008823529411764706,0,18,424
common,4,128,0.26,430,-0.0065116279069767444,0,13,417
common,4,128,0.34,480,-0.006875,0,15,465
common,4,256,0.2,434,-0.0064516129032258064,0,12,422
common,4,256,0.26,433,-0.004387990762124711,0,9,424
common,4,256,0.34,476,-0.0029411764705882353,0,9,467
common,8,64,0.2,424,-0.0014150943399521187,0,5,419
common,8,64,0.26,445,-0.001348314607055502,0,2,443
common,8,64,0.34,461,-0.0008676789589872717,0,2,459
common,8,128,0.2,442,-0.001583710407239819,0,4,438
common,8,128,0.26,430,-0.00046511627906976747,0,1,429
common,8,128,0.34,480,-0.00020833333333333335,0,1,479
common,8,256,0.2,434,-0.001152073732718894,0,2,432
common,8,256,0.26,433,-0.00046189376443418013,0,1,432
common,8,256,0.34,476,-0.0006302521008403362,0,2,474
common,16,64,0.2,424,-0.0009433962266347459,0,2,422
common,16,64,0.26,445,0.0,0,0,445
common,16,64,0.34,461,0.0,0,0,461
common,16,128,0.2,442,-0.0013574660633484162,0,2,440
common,16,128,0.26,430,-0.00023255813953488373,0,1,429
