run,protocol,n,p_measure,I3_mean
primary,random_pauli,32,0.20000000000000001,-0.83625000000000005
primary,random_pauli,32,0.22,-0.52124999999999999
primary,random_pauli,32,0.23999999999999999,-0.33374999999999999
primary,random_pauli,32,0.25,-0.27625
primary,random_pauli,32,0.26000000000000001,-0.185
primary,random_pauli,32,0.27000000000000002,-0.1525
primary,random_pauli,32,0.28000000000000003,-0.115
primary,random_pauli,32,0.29999999999999999,-0.042500000000000003
primary,random_pauli,32,0.34000000000000002,-0.025000000000000001
primary,random_pauli,64,0.20000000000000001,-1.7462500000000001
primary,random_pauli,64,0.22,-1.0125
primary,random_pauli,64,0.23999999999999999,-0.49625000000000002
primary,random_pauli,64,0.25,-0.34000000000000002
primary,random_pauli,64,0.26000000000000001,-0.21124999999999999
primary,random_pauli,64,0.27000000000000002,-0.13625000000000001
primary,random_pauli,64,0.28000000000000003,-0.10000000000000001
primary,random_pauli,64,0.29999999999999999,-0.042500000000000003
primary,random_pauli,64,0.34000000000000002,-0.0050000000000000001
primary,random_pauli,128,0.20000000000000001,-4.3637499999999996
primary,random_pauli,128,0.22,-2.3125
primary,random_pauli,128,0.23999999999999999,-0.94874999999999998
primary,random_pauli,128,0.25,-0.5
primary,random_pauli,128,0.26000000000000001,-0.28875000000000001
primary,random_pauli,128,0.27000000000000002,-0.13
primary,random_pauli,128,0.28000000000000003,-0.067500000000000004
primary,random_pauli,128,0.29999999999999999,-0.012500000000000001
primary,random_pauli,128,0.34000000000000002,-0.0025000000000000001
primary,random_pauli,256,0.20000000000000001,-10.305
primary,random_pauli,256,0.22,-5.7162499999999996
primary,random_pauli,256,0.23999999999999999,-2.3387500000000001
primary,random_pauli,256,0.25,-1.0800000000000001
primary,random_pauli,256,0.26000000000000001,-0.35375000000000001
primary,random_pauli,256,0.27000000000000002,-0.1075
primary,random_pauli,256,0.28000000000000003,-0.02375
primary,random_pauli,256,0.29999999999999999,-0.00125
primary,random_pauli,256,0.34000000000000002,0
primary,z_projective,32,0.20000000000000001,-0.79249999999999998
primary,z_projective,32,0.22,-0.51749999999999996
primary,z_projective,32,0.23999999999999999,-0.25750000000000001
primary,z_projective,32,0.25,-0.26000000000000001
primary,z_projective,32,0.26000000000000001,-0.20999999999999999
primary,z_projective,32,0.27000000000000002,-0.14374999999999999
primary,z_projective,32,0.28000000000000003,-0.13250000000000001
primary,z_projective,32,0.29999999999999999,-0.082500000000000004
primary,z_projective,32,0.34000000000000002,-0.032500000000000001
primary,z_projective,64,0.20000000000000001,-1.7
primary,z_projective,64,0.22,-0.97250000000000003
primary,z_projective,64,0.23999999999999999,-0.45000000000000001
primary,z_projective,64,0.25,-0.3175
primary,z_projective,64,0.26000000000000001,-0.22375
primary,z_projective,64,0.27000000000000002,-0.13125000000000001
primary,z_projective,64,0.28000000000000003,-0.086249999999999993
primary,z_projective,64,0.29999999999999999,-0.037499999999999999
primary,z_projective,64,0.34000000000000002,-0.012500000000000001
primary,z_projective,128,0.20000000000000001,-4.2575000000000003
primary,z_projective,128,0.22,-2.4575
primary,z_projective,128,0.23999999999999999,-0.98499999999999999
primary,z_projective,128,0.25,-0.5575
primary,z_projective,128,0.26000000000000001,-0.255
primary,z_projective,128,0.27000000000000002,-0.13625000000000001
primary,z_projective,128,0.28000000000000003,-0.052499999999999998
primary,z_projective,128,0.29999999999999999,-0.02375
primary,z_projective,128,0.34000000000000002,0
primary,z_projective,256,0.20000000000000001,-10.1775
primary,z_projective,256,0.22,-5.7000000000000002
primary,z_projective,256,0.23999999999999999,-2.2774999999999999
primary,z_projective,256,0.25,-0.96499999999999997
primary,z_projective,256,0.26000000000000001,-0.41125
primary,z_projective,256,0.27000000000000002,-0.115
primary,z_projective,256,0.28000000000000003,-0.032500000000000001
primary,z_projective,256,0.29999999999999999,0
primary,z_projective,256,0.34000000000000002,0
replication,random_pauli,32,0.20000000000000001,-0.85333333333333339
replication,random_pauli,32,0.22,-0.51333333333333331
replication,random_pauli,32,0.23999999999999999,-0.27666666666666667
replication,random_pauli,32,0.25,-0.21333333333333335
replication,random_pauli,32,0.26000000000000001,-0.13666666666666666
replication,random_pauli,32,0.27000000000000002,-0.16333333333333333
