run,protocol,n,p_low,p_high,beta_per_pair,rows,strata,ci_low,ci_high,interval_source
primary,random_pauli,32,0.20000000000000001,0.22,-0.030050321832407519,4671,18,-0.045942707819067799,-0.013817540504797599,archived table; not freshly resampled
primary,random_pauli,32,0.22,0.23999999999999999,-0.035174524191647384,4759,18,-0.050209466242554401,-0.0189274286417494,archived table; not freshly resampled
primary,random_pauli,32,0.23999999999999999,0.25,-0.016236563129887957,4758,17,-0.031160402643842702,-0.00028821983077880002,archived table; not freshly resampled
primary,random_pauli,32,0.25,0.26000000000000001,-0.014158689163209812,4756,16,-0.028692929694441999,0.0018516451907174001,archived table; not freshly resampled
primary,random_pauli,32,0.26000000000000001,0.27000000000000002,-0.018271275000994413,4752,15,-0.033893138601364503,-0.0019616069677997,archived table; not freshly resampled
primary,random_pauli,32,0.27000000000000002,0.28000000000000003,-0.023703654870137817,4768,15,-0.0391313694425394,-0.0074886021456405001,archived table; not freshly resampled
primary,random_pauli,32,0.28000000000000003,0.29999999999999999,-0.013949994841889883,4751,14,-0.028181967822777099,-0.00045562369082250001,archived table; not freshly resampled
primary,random_pauli,32,0.29999999999999999,0.34000000000000002,-0.040675279341365819,4750,12,-0.0546414831612285,-0.026500686820025401,archived table; not freshly resampled
primary,random_pauli,64,0.20000000000000001,0.22,-0.046900152748768333,4542,20,-0.062504755346991001,-0.030644709441329701,archived table; not freshly resampled
primary,random_pauli,64,0.22,0.23999999999999999,-0.058868551769058475,4651,20,-0.076514929252737507,-0.042757919483930103,archived table; not freshly resampled
primary,random_pauli,64,0.23999999999999999,0.25,-0.021511034048945162,4750,21,-0.037670290175937801,-0.0057058315135770999,archived table; not freshly resampled
primary,random_pauli,64,0.25,0.26000000000000001,-0.026739312478538484,4700,18,-0.041480130366227802,-0.0113929328283999,archived table; not freshly resampled
primary,random_pauli,64,0.26000000000000001,0.27000000000000002,-0.021176215095111091,4755,18,-0.036366613712529097,-0.0050061474256562002,archived table; not freshly resampled
primary,random_pauli,64,0.27000000000000002,0.28000000000000003,-0.0099096068941095638,4777,18,-0.024886548432848501,0.0059001816796380004,archived table; not freshly resampled
primary,random_pauli,64,0.28000000000000003,0.29999999999999999,-0.034186958382568057,4734,15,-0.050037479894299297,-0.020273319452145801,archived table; not freshly resampled
primary,random_pauli,64,0.29999999999999999,0.34000000000000002,-0.050805277506532714,4689,12,-0.065562520021860998,-0.036300205416976102,archived table; not freshly resampled
primary,random_pauli,128,0.20000000000000001,0.22,-0.091140527323484294,4040,20,-0.1110035638030312,-0.071724607531759896,archived table; not freshly resampled
primary,random_pauli,128,0.22,0.23999999999999999,-0.074666303297922801,4210,20,-0.094117220670297902,-0.054770626845882103,archived table; not freshly resampled
primary,random_pauli,128,0.23999999999999999,0.25,-0.047176497209586041,4674,23,-0.063107058196396407,-0.031167553499072,archived table; not freshly resampled
primary,random_pauli,128,0.25,0.26000000000000001,-0.033378119150356052,4652,21,-0.049686001819051098,-0.0160283404363144,archived table; not freshly resampled
primary,random_pauli,128,0.26000000000000001,0.27000000000000002,-0.021052098092035811,4742,21,-0.038192402519698097,-0.0040254340703191,archived table; not freshly resampled
primary,random_pauli,128,0.27000000000000002,0.28000000000000003,-0.030167168128310922,4714,18,-0.0458774176760589,-0.0152351302277132,archived table; not freshly resampled
primary,random_pauli,128,0.28000000000000003,0.29999999999999999,-0.049807438700109438,4708,16,-0.065696669256788104,-0.034976078838385098,archived table; not freshly resampled
primary,random_pauli,128,0.29999999999999999,0.34000000000000002,-0.064434699367076201,4637,12,-0.078900803925813501,-0.050078226335209003,archived table; not freshly resampled
primary,random_pauli,256,0.20000000000000001,0.22,-0.094921122422504348,2764,18,-0.1219913643679716,-0.066823042940355695,archived table; not freshly resampled
primary,random_pauli,256,0.22,0.23999999999999999,-0.11150989146769853,2832,17,-0.1352225693230239,-0.088622599593835699,archived table; not freshly resampled
