run,protocol,n,delta_left,delta_right,probability_slope,response,contribution
primary,random_pauli,32,-1,-1,-0.008626406136019343,0.60000915541313804,-0.0051759226599236777
primary,random_pauli,32,-1,0,-0.013437775238733671,0.4000061036087586,-0.0053751921144161111
primary,random_pauli,32,-1,1,-0.0010307680163421805,0,-0
primary,random_pauli,32,0,-1,-0.013011999805703948,0.4000061036087586,-0.00520487934243756
primary,random_pauli,32,0,0,0.0033949522009225504,0.2000030518043793,0.00067900080091450434
primary,random_pauli,32,0,1,0.0091658860682156187,-0.20000305180437952,-0.0018332051861343688
primary,random_pauli,32,1,-1,-0.00016326071394278958,0,-0
primary,random_pauli,32,1,0,0.0091663410728516567,-0.20000305180437952,-0.0018332961884501616
primary,random_pauli,32,1,1,0.01454303056875211,-0.60000915541313815,-0.0087259514887044042
primary,random_pauli,64,-1,-1,-0.0090730298346715938,0.60000000013969834,-0.0054438179020704436
primary,random_pauli,64,-1,0,-0.019886214158683007,0.40000000009313219,-0.0079544856653252487
primary,random_pauli,64,-1,1,0.00071572541435849582,0,0
primary,random_pauli,64,0,-1,-0.018034605719483676,0.40000000009313219,-0.0072138422894730729
primary,random_pauli,64,0,0,0.00055202644330369557,0.2000000000465661,0.00011040528868644482
primary,random_pauli,64,0,1,0.014748979005950711,-0.20000000004656632,-0.0029497958018769479
primary,random_pauli,64,1,-1,9.2973464482045483e-05,0,0
primary,random_pauli,64,1,0,0.015610077920963547,-0.20000000004656632,-0.0031220155849196133
primary,random_pauli,64,1,1,0.015274067463779788,-0.60000000013969845,-0.0091644404804016363
primary,random_pauli,128,-1,-1,-0.0091995971446901942,0.59999999999999998,-0.0055197582868141163
primary,random_pauli,128,-1,0,-0.023365450324905265,0.39999999999999991,-0.0093461801299621044
primary,random_pauli,128,-1,1,0.00098328096002075712,0,0
primary,random_pauli,128,0,-1,-0.022801012970865699,0.39999999999999991,-0.0091204051883462776
primary,random_pauli,128,0,0,-0.014644415933116406,0.19999999999999996,-0.0029288831866232808
primary,random_pauli,128,0,1,0.020955853537902597,-0.20000000000000018,-0.004191170707580523
primary,random_pauli,128,1,-1,0.0010213713664556793,0,0
primary,random_pauli,128,1,0,0.025071941720360306,-0.20000000000000018,-0.0050143883440720658
primary,random_pauli,128,1,1,0.021978028788838228,-0.60000000000000009,-0.013186817273302939
primary,random_pauli,256,-1,-1,-0.01161572843870861,0.59999999999999998,-0.0069694370632251658
primary,random_pauli,256,-1,0,-0.022689920965769571,0.39999999999999991,-0.0090759683863078262
primary,random_pauli,256,-1,1,0.0011768483170353809,0,0
primary,random_pauli,256,0,-1,-0.024625732740378971,0.39999999999999991,-0.0098502930961515862
primary,random_pauli,256,0,0,-0.013380032240909926,0.19999999999999996,-0.0026760064481819845
primary,random_pauli,256,0,1,0.023976591199632399,-0.20000000000000018,-0.0047953182399264839
