run,protocol,model,power,omit,beta_infinity,correction,ci_low,ci_high,Q,residual_dimensions
primary,random_pauli,locked,1,,-0.053190142498300459,0.86001035677119086,-0.055856107461107307,-0.050500964592334364,16.783240738064833,2
primary,random_pauli,power_0.5,0.5,,-0.066368533856951392,0.22461392710861322,-0.07073039499447388,-0.061897682499889611,7.9865399851362966,2
primary,random_pauli,power_1.0,1,,-0.053190142498300459,0.86001035677119086,-0.055856107461107307,-0.050500964592334364,16.783240738064833,2
primary,random_pauli,power_1.5,1.5,,-0.04877702168384411,4.0657755828383486,-0.050990262112118906,-0.046552373127838137,28.471452453641248,2
primary,random_pauli,power_2.0,2,,-0.046597031280991678,20.600910746962601,-0.048637144459034533,-0.044579550194933475,39.571363747107377,2
primary,random_pauli,leave_32,1,32,-0.059538806729967357,1.5051817956972295,-0.063703688149694099,-0.055358381073258453,1.4903562898063976,1
primary,random_pauli,leave_64,1,64,-0.056178233807461474,0.91809058320360959,-0.059133988682730038,-0.052978780123568284,0.07044547522316702,1
primary,random_pauli,leave_128,1,128,-0.050965993699286359,0.78349677401188211,-0.054299895450932473,-0.0474825598777752,11.990745899186678,1
primary,random_pauli,leave_256,1,256,-0.051529038255051111,0.79734461008863144,-0.054701285831876285,-0.048196532113633818,14.317950182014361,1
primary,z_projective,locked,1,,-0.05175830200589434,0.73752808476633225,-0.054534316521462171,-0.048897625054461151,5.2134470734090739,2
primary,z_projective,power_0.5,0.5,,-0.062739922019140568,0.19051905645208952,-0.067153888372531251,-0.058139663419967305,0.9626275165479149,2
primary,z_projective,power_1.0,1,,-0.05175830200589434,0.73752808476633225,-0.054534316521462171,-0.048897625054461151,5.2134470734090739,2
primary,z_projective,power_1.5,1.5,,-0.048132748579315196,3.530091066415614,-0.050463369744519759,-0.04584399906813439,11.321566807650525,2
primary,z_projective,power_2.0,2,,-0.046361857829811184,18.098518424384455,-0.048479061260412668,-0.044291785606490129,17.276897018134427,2
primary,z_projective,leave_32,1,32,-0.054713619388453524,1.0451780182633295,-0.058870501598542117,-0.050446637678469908,1.8064023971967913,1
primary,z_projective,leave_64,1,64,-0.052795282836030216,0.75757628190790793,-0.05586554521323172,-0.049616168090139849,3.0597269350209251,1
primary,z_projective,leave_128,1,128,-0.052653710393865856,0.7680424280853394,-0.055931868633464471,-0.049132354716611849,4.4196444030385846,1
primary,z_projective,leave_256,1,256,-0.049297220417232231,0.64549829991038066,-0.052738435332238237,-0.045750328131781724,0.28487222631796844,1
replication,random_pauli,locked,1,,-0.051965804145208024,0.77221178192151774,-0.056525197571063439,-0.047361197798529722,1.5773091561250325,2
replication,random_pauli,power_0.5,0.5,,-0.063426064942182503,0.19907752386078922,-0.070940936762768275,-0.0559113136889191,0.58051095492826155,2
replication,random_pauli,power_1.0,1,,-0.051965804145208024,0.77221178192151774,-0.056525197571063439,-0.047361197798529722,1.5773091561250325,2
replication,random_pauli,power_1.5,1.5,,-0.048181146582071344,3.7058737995160635,-0.051846975013193755,-0.044331213296736408,3.3962121276498269,2
replication,random_pauli,power_2.0,2,,-0.046331410246268925,19.05223058245863,-0.049640885892751639,-0.04288256284269433,5.2844421162483419,2
replication,random_pauli,leave_32,1,32,-0.05396932678139299,0.97731735635013972,-0.060706549773419369,-0.04688187678955287,1.0479098613133082,1
replication,random_pauli,leave_64,1,64,-0.052545843411886298,0.7841320481942935,-0.057645113221531624,-0.047290791860568483,1.3606767594766922,1
replication,random_pauli,leave_128,1,128,-0.053351568270365426,0.81950229975302913,-0.05902615400324774,-0.047449510839964862,0.91763320440035423,1
replication,random_pauli,leave_256,1,256,-0.04968613498452025,0.68737470176508586,-0.055456828986167689,-0.043790779971555956,0.011571193393057538,1
replication,z_projective,locked,1,,-0.049162920247190205,0.68653704611862887,-0.053397726300060476,-0.044668726829840764,0.74390591297288433,2
replication,z_projective,power_0.5,0.5,,-0.058818982785510711,0.17327881903663608,-0.065817655726120944,-0.051611656408472831,1.2589386651281371,2
replication,z_projective,power_1.0,1,,-0.049162920247190205,0.68653704611862887,-0.053397726300060476,-0.044668726829840764,0.74390591297288433,2
replication,z_projective,power_1.5,1.5,,-0.045998409803662647,3.3454365837048545,-0.049556139462088304,-0.042265854894873466,1.380031874229964,2
replication,z_projective,power_2.0,2,,-0.044459009923646112,17.377214541138315,-0.047698238607845847,-0.041030302273589579,2.44922746534125,2
replication,z_projective,leave_32,1,32,-0.050093631162396325,0.78682647989939902,-0.056867857017027089,-0.043223631660610447,0.62136704141494237,1
replication,z_projective,leave_64,1,64,-0.049742142632693186,0.69701928240127276,-0.054528310009508252,-0.044731005148737658,0.45129902876423539,1
replication,z_projective,leave_128,1,128,-0.047648718078921716,0.63540343705618496,-0.053354976129698126,-0.041558739483368745,0.032402531856642429,1
replication,z_projective,leave_256,1,256,-0.049884090736891137,0.71342852101716614,-0.055315185984852862,-0.043973594482218346,0.58757884021964024,1
