run,protocol,n,beta,ci_low,ci_high
primary,random_pauli,32,-0.0078242486101873301,-0.0085338582462393172,-0.0071283854253330571
primary,random_pauli,64,-0.0079172598930694234,-0.0087254360801724013,-0.0071536939306094281
primary,random_pauli,128,-0.0098078215775498877,-0.010768174891773929,-0.0089098655192473078
primary,random_pauli,256,-0.010655375213224202,-0.011901386711985091,-0.0094036654189745637
primary,z_projective,32,-0.0080562110495215316,-0.008796109136446649,-0.0073372093407952435
primary,z_projective,64,-0.008630169205167175,-0.0093795120623451911,-0.0078699605028975592
primary,z_projective,128,-0.0082329034415307631,-0.0091714198893587708,-0.0072765656794164819
primary,z_projective,256,-0.011047717665497458,-0.012367944064737766,-0.0098000887600009044
replication,random_pauli,32,-0.0083745451635922064,-0.0096648049346758566,-0.0072343851705845398
replication,random_pauli,64,-0.0090482925033955122,-0.010382962729375285,-0.0077764189132511633
replication,random_pauli,128,-0.0098582423074890582,-0.011658954531550287,-0.0081220892011012093
replication,random_pauli,256,-0.010859228671308676,-0.013017428483007829,-0.0086551640500546236
replication,z_projective,32,-0.0081318464259641753,-0.0094316557967313551,-0.0068210655437262683
replication,z_projective,64,-0.0083674119808874563,-0.0096484351482884027,-0.0070753292615641757
replication,z_projective,128,-0.0096526465979070875,-0.011405354068067187,-0.0079888817943093403
replication,z_projective,256,-0.010224314130817884,-0.012335982099850649,-0.0082767395001768669
