run,protocol,n,beta,explicit_dummy_beta,cluster_se,full_fe_df_cluster_se,ci_low,ci_high
primary,random_pauli,32,-0.027469446179151778,-0.027469446179151757,0.0010586298431213882,0.0010590760517157529,-0.029556821392457182,-0.025389682871911089
primary,random_pauli,64,-0.03573799243538052,-0.035737992435380533,0.0012409578848951233,0.0012416384049885347,-0.038111375606735283,-0.033368233042195924
primary,random_pauli,128,-0.049307603116701307,-0.049307603116701182,0.0015940784289150709,0.0015952559644995311,-0.052416637507947984,-0.046046065215719953
primary,random_pauli,256,-0.052228431900652128,-0.052228431900652017,0.0019903390433018962,0.0019923965962737634,-0.055983542529843666,-0.048433638793740352
primary,z_projective,32,-0.029242499097161104,-0.029242499097158842,0.0010617624370214298,0.0010622094635391746,-0.031345755061744467,-0.027192220578724741
primary,z_projective,64,-0.0387174824967636,-0.038717482496763655,0.001258957557617305,0.0012596477838547578,-0.041188046761837856,-0.036263512873567973
primary,z_projective,128,-0.044820577874955636,-0.044820577874955636,0.0016155693500940959,0.0016167840945075019,-0.047866863648282229,-0.041408067341286194
primary,z_projective,256,-0.052130036392581798,-0.052130036392581694,0.0019913971249975915,0.001993490206851546,-0.055786637455905848,-0.048417804347964673
replication,random_pauli,32,-0.028168041669683303,-0.02816804166968323,0.0017619591038427293,0.0017637736863049299,-0.031654673347079117,-0.024877359942506509
replication,random_pauli,64,-0.039109225207836967,-0.039109225207836884,0.0021304938207392819,0.0021334383330026607,-0.043088450793696172,-0.034937148099192419
replication,random_pauli,128,-0.044120288837015784,-0.044120288837015798,0.0028290953704234421,0.0028344267138222553,-0.049717211758996828,-0.038788142561369511
replication,random_pauli,256,-0.052145090079616235,-0.052145090079616319,0.0033038571217025694,0.003311979191902392,-0.058524975028340281,-0.045823237551122734
replication,z_projective,32,-0.027877153996648082,-0.027877153996648085,0.0018208405421832182,0.0018228108358258951,-0.031342403028452523,-0.024262718469376863
replication,z_projective,64,-0.037418309278016343,-0.037418309278016204,0.0021782151244840371,0.0021812295591936053,-0.041665244059777222,-0.032915133596786765
replication,z_projective,128,-0.045519660536488829,-0.045519660536488538,0.0027581809759781805,0.0027635188218021385,-0.050483940498732137,-0.040220805788421285
replication,z_projective,256,-0.045509009141761828,-0.045509009141761814,0.0031920024923672106,0.0032001163242644133,-0.05168173525524293,-0.039362327639078168
