run,protocol,n,p_measure,raw_trajectories,eligible_rows,eligible_trajectories
primary,random_pauli,32,0.20000000000000001,800,2281,800
primary,random_pauli,32,0.22,800,2370,800
primary,random_pauli,32,0.23999999999999999,800,2389,800
primary,random_pauli,32,0.25,800,2391,800
primary,random_pauli,32,0.26000000000000001,800,2391,800
primary,random_pauli,32,0.27000000000000002,800,2381,800
primary,random_pauli,32,0.28000000000000003,800,2387,800
primary,random_pauli,32,0.29999999999999999,800,2387,800
primary,random_pauli,32,0.34000000000000002,800,2390,800
primary,random_pauli,64,0.20000000000000001,800,1975,795
primary,random_pauli,64,0.22,800,2310,799
primary,random_pauli,64,0.23999999999999999,800,2387,800
primary,random_pauli,64,0.25,800,2390,800
primary,random_pauli,64,0.26000000000000001,800,2372,800
primary,random_pauli,64,0.27000000000000002,800,2383,800
primary,random_pauli,64,0.28000000000000003,800,2394,800
primary,random_pauli,64,0.29999999999999999,800,2387,800
primary,random_pauli,64,0.34000000000000002,800,2391,800
primary,random_pauli,128,0.20000000000000001,800,979,647
primary,random_pauli,128,0.22,800,2013,798
primary,random_pauli,128,0.23999999999999999,800,2366,800
primary,random_pauli,128,0.25,800,2369,800
primary,random_pauli,128,0.26000000000000001,800,2392,800
primary,random_pauli,128,0.27000000000000002,800,2388,800
primary,random_pauli,128,0.28000000000000003,800,2384,800
primary,random_pauli,128,0.29999999999999999,800,2383,800
primary,random_pauli,128,0.34000000000000002,800,2378,800
primary,random_pauli,256,0.20000000000000001,800,51,51
primary,random_pauli,256,0.22,800,926,633
primary,random_pauli,256,0.23999999999999999,800,2213,800
primary,random_pauli,256,0.25,800,2358,800
primary,random_pauli,256,0.26000000000000001,800,2361,800
primary,random_pauli,256,0.27000000000000002,800,2383,800
primary,random_pauli,256,0.28000000000000003,800,2383,800
primary,random_pauli,256,0.29999999999999999,800,2380,800
primary,random_pauli,256,0.34000000000000002,800,2385,800
primary,z_projective,32,0.20000000000000001,800,2299,800
primary,z_projective,32,0.22,800,2362,800
primary,z_projective,32,0.23999999999999999,800,2395,800
primary,z_projective,32,0.25,800,2390,800
primary,z_projective,32,0.26000000000000001,800,2378,800
primary,z_projective,32,0.27000000000000002,800,2389,800
primary,z_projective,32,0.28000000000000003,800,2393,800
primary,z_projective,32,0.29999999999999999,800,2391,800
primary,z_projective,32,0.34000000000000002,800,2394,800
primary,z_projective,64,0.20000000000000001,800,1979,797
primary,z_projective,64,0.22,800,2290,800
primary,z_projective,64,0.23999999999999999,800,2388,800
primary,z_projective,64,0.25,800,2384,800
primary,z_projective,64,0.26000000000000001,800,2397,800
primary,z_projective,64,0.27000000000000002,800,2379,800
primary,z_projective,64,0.28000000000000003,800,2399,800
primary,z_projective,64,0.29999999999999999,800,2391,800
primary,z_projective,64,0.34000000000000002,800,2387,800
primary,z_projective,128,0.20000000000000001,800,1144,682
primary,z_projective,128,0.22,800,2134,800
primary,z_projective,128,0.23999999999999999,800,2388,800
primary,z_projective,128,0.25,800,2370,800
primary,z_projective,128,0.26000000000000001,800,2392,800
primary,z_projective,128,0.27000000000000002,800,2390,800
primary,z_projective,128,0.28000000000000003,800,2379,800
primary,z_projective,128,0.29999999999999999,800,2387,800
primary,z_projective,128,0.34000000000000002,800,2389,800
primary,z_projective,256,0.20000000000000001,800,87,84
primary,z_projective,256,0.22,800,1074,676
primary,z_projective,256,0.23999999999999999,800,2200,800
primary,z_projective,256,0.25,800,2351,800
primary,z_projective,256,0.26000000000000001,800,2376,800
primary,z_projective,256,0.27000000000000002,800,2382,800
primary,z_projective,256,0.28000000000000003,800,2393,800
primary,z_projective,256,0.29999999999999999,800,2383,800
primary,z_projective,256,0.34000000000000002,800,2384,800
replication,random_pauli,32,0.20000000000000001,300,769,299
replication,random_pauli,32,0.22,300,825,300
replication,random_pauli,32,0.23999999999999999,300,881,300
replication,random_pauli,32,0.25,300,883,300
replication,random_pauli,32,0.26000000000000001,300,891,300
replication,random_pauli,32,0.27000000000000002,300,892,300
replication,random_pauli,32,0.28000000000000003,300,877,300
replication,random_pauli,32,0.29999999999999999,300,884,300
replication,random_pauli,32,0.34000000000000002,300,879,300
replication,random_pauli,64,0.20000000000000001,300,611,294
replication,random_pauli,64,0.22,300,815,300
replication,random_pauli,64,0.23999999999999999,300,886,300
replication,random_pauli,64,0.25,300,869,300
replication,random_pauli,64,0.26000000000000001,300,888,300
replication,random_pauli,64,0.27000000000000002,300,879,300
replication,random_pauli,64,0.28000000000000003,300,881,300
replication,random_pauli,64,0.29999999999999999,300,888,300
replication,random_pauli,64,0.34000000000000002,300,897,300
replication,random_pauli,128,0.20000000000000001,300,158,135
replication,random_pauli,128,0.22,300,626,292
replication,random_pauli,128,0.23999999999999999,300,855,300
replication,random_pauli,128,0.25,300,864,300
replication,random_pauli,128,0.26000000000000001,300,876,300
replication,random_pauli,128,0.27000000000000002,300,877,300
replication,random_pauli,128,0.28000000000000003,300,887,300
replication,random_pauli,128,0.29999999999999999,300,889,300
replication,random_pauli,128,0.34000000000000002,300,887,300
replication,random_pauli,256,0.20000000000000001,300,0,0
replication,random_pauli,256,0.22,300,91,80
replication,random_pauli,256,0.23999999999999999,300,638,290
replication,random_pauli,256,0.25,300,818,300
replication,random_pauli,256,0.26000000000000001,300,861,300
replication,random_pauli,256,0.27000000000000002,300,864,300
replication,random_pauli,256,0.28000000000000003,300,873,300
replication,random_pauli,256,0.29999999999999999,300,891,300
replication,random_pauli,256,0.34000000000000002,300,885,300
replication,z_projective,32,0.20000000000000001,300,808,299
replication,z_projective,32,0.22,300,859,300
replication,z_projective,32,0.23999999999999999,300,880,300
replication,z_projective,32,0.25,300,881,300
replication,z_projective,32,0.26000000000000001,300,891,300
replication,z_projective,32,0.27000000000000002,300,897,300
replication,z_projective,32,0.28000000000000003,300,890,300
replication,z_projective,32,0.29999999999999999,300,880,300
replication,z_projective,32,0.34000000000000002,300,883,300
replication,z_projective,64,0.20000000000000001,300,619,288
replication,z_projective,64,0.22,300,807,300
replication,z_projective,64,0.23999999999999999,300,867,299
replication,z_projective,64,0.25,300,879,300
replication,z_projective,64,0.26000000000000001,300,886,300
replication,z_projective,64,0.27000000000000002,300,870,300
replication,z_projective,64,0.28000000000000003,300,882,300
replication,z_projective,64,0.29999999999999999,300,897,300
replication,z_projective,64,0.34000000000000002,300,897,300
replication,z_projective,128,0.20000000000000001,300,227,161
replication,z_projective,128,0.22,300,655,292
replication,z_projective,128,0.23999999999999999,300,861,300
replication,z_projective,128,0.25,300,876,300
replication,z_projective,128,0.26000000000000001,300,862,300
