run,protocol,n,tau,beta,min_per_cell,ci_low,ci_high,interval_source
primary,random_pauli,32,6,-0.026510408065149822,5,-0.030233845546390001,-0.0229652758658755,archived table; not freshly resampled
primary,random_pauli,32,8,-0.0304717847316004,5,-0.034077922621663703,-0.026717064512683401,archived table; not freshly resampled
primary,random_pauli,32,10,-0.025579650042092714,5,-0.029131898249145499,-0.0221424105975657,archived table; not freshly resampled
primary,random_pauli,64,6,-0.03473765861982421,5,-0.038923880723283101,-0.030464401383641499,archived table; not freshly resampled
primary,random_pauli,64,8,-0.036915310885458449,5,-0.041335100144121499,-0.032628290023961302,archived table; not freshly resampled
primary,random_pauli,64,10,-0.035907023817525752,5,-0.040052828308902902,-0.0319329866622469,archived table; not freshly resampled
primary,random_pauli,128,6,-0.050086075312077913,5,-0.055100693370122099,-0.044848311642779699,archived table; not freshly resampled
primary,random_pauli,128,8,-0.05120449110075613,5,-0.056617669940316299,-0.045876141443750303,archived table; not freshly resampled
primary,random_pauli,128,10,-0.04862707123456525,5,-0.0541827791171458,-0.043239176570065901,archived table; not freshly resampled
primary,random_pauli,256,6,-0.056158459244854117,5,-0.062690891312690206,-0.049248849098740201,archived table; not freshly resampled
primary,random_pauli,256,8,-0.055216760267469182,5,-0.0618458501668563,-0.048228122076048,archived table; not freshly resampled
primary,random_pauli,256,10,-0.049394869635640021,5,-0.0557507807051233,-0.042326024519714602,archived table; not freshly resampled
primary,z_projective,32,6,-0.030121719216114225,5,-0.033545322808749403,-0.026488913885753199,archived table; not freshly resampled
primary,z_projective,32,8,-0.029042564654646691,5,-0.0326678235332565,-0.025612990616150601,archived table; not freshly resampled
primary,z_projective,32,10,-0.029023854258616533,5,-0.032679442206934403,-0.025506576004445801,archived table; not freshly resampled
primary,z_projective,64,6,-0.040809954880725113,5,-0.044825825744650702,-0.036564859982720598,archived table; not freshly resampled
primary,z_projective,64,8,-0.038791844863739169,5,-0.043041524114768803,-0.034426427586003103,archived table; not freshly resampled
primary,z_projective,64,10,-0.037510407691275935,5,-0.041744177992445897,-0.033126724307928797,archived table; not freshly resampled
primary,z_projective,128,6,-0.04509467383689697,5,-0.050995913996367201,-0.039321945223766301,archived table; not freshly resampled
primary,z_projective,128,8,-0.04639464133849136,5,-0.051640382275576401,-0.041230534932256098,archived table; not freshly resampled
primary,z_projective,128,10,-0.043497658287064145,5,-0.049679365567062699,-0.037784161920146699,archived table; not freshly resampled
primary,z_projective,256,6,-0.056246584500357702,5,-0.062849632857618604,-0.049381515661807998,archived table; not freshly resampled
primary,z_projective,256,8,-0.049804277093744381,5,-0.056528770981661397,-0.043458870222026401,archived table; not freshly resampled
primary,z_projective,256,10,-0.052355387399612562,5,-0.058839940803376303,-0.045432944769008901,archived table; not freshly resampled
replication,random_pauli,32,6,-0.034932752459937655,5,-0.0406498503514406,-0.0292265330974338,archived table; not freshly resampled
replication,random_pauli,32,8,-0.027278830064729479,5,-0.032849434456740503,-0.021389289375971302,archived table; not freshly resampled
replication,random_pauli,32,10,-0.023505452808698538,5,-0.029233292389143701,-0.0179124305361354,archived table; not freshly resampled
replication,random_pauli,64,6,-0.043991552150370858,5,-0.051115807708504497,-0.036388017745915102,archived table; not freshly resampled
replication,random_pauli,64,8,-0.036407380246451897,5,-0.043534180640510602,-0.029326423099619799,archived table; not freshly resampled
replication,random_pauli,64,10,-0.037865636813438693,5,-0.044596634229474699,-0.030953658462116399,archived table; not freshly resampled
replication,random_pauli,128,6,-0.043259990450292579,5,-0.051805104670505503,-0.034051147435566101,archived table; not freshly resampled
replication,random_pauli,128,8,-0.045215518693918696,5,-0.054478622207788402,-0.035604470935858501,archived table; not freshly resampled
replication,random_pauli,128,10,-0.044797261265678706,5,-0.054045543816109702,-0.035900776321028803,archived table; not freshly resampled
replication,random_pauli,256,6,-0.053242498745854044,5,-0.064060050702845497,-0.043105906262127201,archived table; not freshly resampled
replication,random_pauli,256,8,-0.052839824961559242,5,-0.063597184964230294,-0.041983755702273397,archived table; not freshly resampled
replication,random_pauli,256,10,-0.05364248830938851,5,-0.065201080463152303,-0.0422662871974267,archived table; not freshly resampled
replication,z_projective,32,6,-0.026525908402306009,5,-0.032452945675510797,-0.0204365634904108,archived table; not freshly resampled
replication,z_projective,32,8,-0.032778942520077958,5,-0.038945169885939497,-0.026525982149245401,archived table; not freshly resampled
replication,z_projective,32,10,-0.025269554673643925,5,-0.0307145228654786,-0.019534236164352601,archived table; not freshly resampled
replication,z_projective,64,6,-0.034721336350007015,5,-0.041454386305097797,-0.028050749720064199,archived table; not freshly resampled
replication,z_projective,64,8,-0.039264521712732994,5,-0.046295819677008201,-0.0325218363963405,archived table; not freshly resampled
replication,z_projective,64,10,-0.036685815675937553,5,-0.043998601258174903,-0.028966218371194102,archived table; not freshly resampled
replication,z_projective,128,6,-0.048406590988086112,5,-0.057707618027599203,-0.0389098125093051,archived table; not freshly resampled
replication,z_projective,128,8,-0.044557967634765355,5,-0.052965202822145001,-0.036259674914833999,archived table; not freshly resampled
replication,z_projective,128,10,-0.041904599812046028,5,-0.051115492804690098,-0.033240311880516703,archived table; not freshly resampled
replication,z_projective,256,6,-0.042787015807436414,5,-0.053747728017094702,-0.032188225512948497,archived table; not freshly resampled
replication,z_projective,256,8,-0.056809967588661005,5,-0.067010552261122097,-0.045612084459164599,archived table; not freshly resampled
replication,z_projective,256,10,-0.043025876272869121,5,-0.054023349147644603,-0.032397157480321903,archived table; not freshly resampled
