source,line,module,status
materialize_studies.py,3,pathlib,stdlib
materialize_studies.py,4,argparse,stdlib
materialize_studies.py,4,json,stdlib
materialize_studies.py,5,boundary_susceptibility.records,local
reproduce.py,3,__future__,stdlib
reproduce.py,4,argparse,stdlib
reproduce.py,5,json,stdlib
reproduce.py,6,pathlib,stdlib
reproduce.py,7,shutil,stdlib
reproduce.py,8,subprocess,stdlib
reproduce.py,9,sys,stdlib
reproduce.py,10,tempfile,stdlib
reproduce.py,11,xml.etree.ElementTree,stdlib
scripts/analysis/check_figure1_adoption.py,3,__future__,stdlib
scripts/analysis/check_figure1_adoption.py,4,argparse,stdlib
scripts/analysis/check_figure1_adoption.py,5,hashlib,stdlib
scripts/analysis/check_figure1_adoption.py,6,json,stdlib
scripts/analysis/check_figure1_adoption.py,7,pathlib,stdlib
scripts/analysis/check_figure1_adoption.py,8,numpy,dependency
scripts/analysis/check_figure1_adoption.py,9,pandas,dependency
scripts/analysis/complete_figure1_uncertainty.py,9,__future__,stdlib
scripts/analysis/complete_figure1_uncertainty.py,11,argparse,stdlib
scripts/analysis/complete_figure1_uncertainty.py,12,dataclasses,stdlib
scripts/analysis/complete_figure1_uncertainty.py,13,fractions,stdlib
scripts/analysis/complete_figure1_uncertainty.py,14,hashlib,stdlib
scripts/analysis/complete_figure1_uncertainty.py,15,io,stdlib
scripts/analysis/complete_figure1_uncertainty.py,16,itertools,stdlib
scripts/analysis/complete_figure1_uncertainty.py,17,json,stdlib
scripts/analysis/complete_figure1_uncertainty.py,18,pathlib,stdlib
scripts/analysis/complete_figure1_uncertainty.py,19,platform,stdlib
scripts/analysis/complete_figure1_uncertainty.py,20,zipfile,stdlib
scripts/analysis/complete_figure1_uncertainty.py,22,numpy,dependency
scripts/analysis/complete_figure1_uncertainty.py,23,pandas,dependency
scripts/analysis/reassess_evidence.py,9,__future__,stdlib
scripts/analysis/reassess_evidence.py,11,argparse,stdlib
scripts/analysis/reassess_evidence.py,12,hashlib,stdlib
scripts/analysis/reassess_evidence.py,13,io,stdlib
scripts/analysis/reassess_evidence.py,14,json,stdlib
scripts/analysis/reassess_evidence.py,15,platform,stdlib
scripts/analysis/reassess_evidence.py,16,zipfile,stdlib
scripts/analysis/reassess_evidence.py,17,pathlib,stdlib
scripts/analysis/reassess_evidence.py,18,boundary_susceptibility.records,local
scripts/analysis/reassess_evidence.py,20,numpy,dependency
scripts/analysis/reassess_evidence.py,21,pandas,dependency
scripts/analysis/reassess_evidence.py,22,scipy,dependency
scripts/analysis/reassess_evidence.py,23,scipy.linalg,dependency
scripts/analysis/reassess_evidence.py,24,scipy.optimize,dependency
scripts/analysis/reproduce_core_records.py,11,__future__,stdlib
scripts/analysis/reproduce_core_records.py,12,argparse,stdlib
scripts/analysis/reproduce_core_records.py,13,io,stdlib
scripts/analysis/reproduce_core_records.py,14,json,stdlib
scripts/analysis/reproduce_core_records.py,15,pathlib,stdlib
scripts/analysis/reproduce_core_records.py,16,platform,stdlib
scripts/analysis/reproduce_core_records.py,17,numpy,dependency
scripts/analysis/reproduce_core_records.py,18,pandas,dependency
scripts/analysis/reproduce_core_records.py,19,boundary_susceptibility.records,local
scripts/analysis/reproduce_core_records.py,21,reassess_evidence,local
scripts/analysis/verify_figure1_uncertainty.py,8,__future__,stdlib
scripts/analysis/verify_figure1_uncertainty.py,9,argparse,stdlib
scripts/analysis/verify_figure1_uncertainty.py,10,hashlib,stdlib
scripts/analysis/verify_figure1_uncertainty.py,11,io,stdlib
scripts/analysis/verify_figure1_uncertainty.py,12,json,stdlib
scripts/analysis/verify_figure1_uncertainty.py,13,pathlib,stdlib
scripts/analysis/verify_figure1_uncertainty.py,14,zipfile,stdlib
