source,line,target,status
README.md,7,docs/DIALOGUE_REPORT.md,exists
README.md,7,docs/DIALOGUE_QUESTION_MAP.md,exists
README.md,7,docs/EVIDENCE_REASSESSMENT.md,exists
README.md,13,figures/core_svg/figure_01_panel_b.svg,exists
README.md,15,docs/FIGURE1_UNCERTAINTY.md,exists
README.md,35,docs/THEORY.md,exists
README.md,41,figures/core_svg/figure_03_size_scaling.svg,exists
README.md,43,docs/EVIDENCE_REASSESSMENT.md,exists
README.md,47,docs/THEORY.md#5-one-measurement-corollary,fragment_exists
README.md,54,docs/FIGURE_BASELINE.md,exists
README.md,54,docs/EVIDENCE_REASSESSMENT.md,exists
README.md,60,data/record_bundle_manifest.json,exists
README.md,72,data/processed/core_figures/,exists
README.md,72,scripts/figures/,exists
README.md,72,docs/FIGURE_BASELINE.md,exists
README.md,74,docs/REPRODUCTION.md,exists
README.md,80,docs/DIALOGUE_REPORT.md,exists
README.md,81,docs/DIALOGUE_QUESTION_MAP.md,exists
README.md,82,docs/SCIENTIFIC_STORY.md,exists
README.md,83,docs/EVIDENCE_REASSESSMENT.md,exists
README.md,84,docs/THEORY.md,exists
README.md,85,docs/NUMERICAL_METHODS.md,exists
README.md,86,docs/CODE_MAP.md,exists
README.md,87,docs/FIGURE_BASELINE.md,exists
README.md,88,docs/DATA_POLICY.md,exists
README.md,90,docs/RESEARCH_HISTORY.md,exists
README.md,90,studies/,exists
README.md,92,CITATION.cff,exists
README.md,92,LICENSE_STATUS.md,exists
README.md,94,docs/REPRODUCIBILITY_LIMITS.md,exists
README.md,31,figures/core_svg/figure_02_response_matrix.svg,exists
README.md,32,figures/core_svg/figure_02_redistribution_matrix.svg,exists
README.md,50,figures/core_svg/figure_04_distance_decay.svg,exists
README.md,51,figures/core_svg/figure_04_conditioning_contrast.svg,exists
data/README.md,5,../docs/DATA_POLICY.md,exists
data/README.md,5,../docs/REPRODUCTION.md,exists
docs/00_START_HERE.md,3,PROJECT_GUIDE.md,exists
docs/00_START_HERE.md,5,SCIENTIFIC_STORY.md,exists
docs/00_START_HERE.md,5,DIALOGUE_REPORT.md,exists
docs/00_START_HERE.md,5,THEORY.md,exists
docs/00_START_HERE.md,5,NUMERICAL_METHODS.md,exists
docs/00_START_HERE.md,5,EVIDENCE_REASSESSMENT.md,exists
docs/00_START_HERE.md,9,DATA_POLICY.md,exists
docs/00_START_HERE.md,9,REPRODUCTION.md,exists
docs/00_START_HERE.md,9,CODE_MAP.md,exists
docs/CLAIM_EVIDENCE_MAP.md,3,../results/core_claims.csv,exists
docs/CLAIM_EVIDENCE_MAP.md,3,DIALOGUE_REPORT.md,exists
docs/CLAIM_EVIDENCE_MAP.md,7,THEORY.md,exists
docs/CLAIM_EVIDENCE_MAP.md,7,../data/processed/core_figures/figure_01_panel_b.csv,exists
docs/CLAIM_EVIDENCE_MAP.md,7,FIGURE1_UNCERTAINTY.md,exists
