run,family,family_label,family_order,estimate,ci_low,ci_high,common_cells,response,p_low,p_high
independent,haar_z,Haar / Z,0,-0.20743235710923266,-0.2474946192801437,-0.16820996989409118,6,chi_rel,0.08,0.24
primary,haar_z,Haar / Z,0,-0.2572664537764646,-0.29003470333235515,-0.22465027782873476,6,chi_rel,0.08,0.24
independent,clifford_z,Clifford / Z,1,-0.31924809729965203,-0.465916550437127,-0.169027594038952,4,chi_rel,0.08,0.24
primary,clifford_z,Clifford / Z,1,-0.4055374211355147,-0.554809873405691,-0.25400939735317174,4,chi_rel,0.08,0.24
independent,floquet_cartan_z,Floquet-Cartan / Z,2,-0.18477780051627954,-0.225250774833077,-0.14550843385825515,6,chi_rel,0.08,0.24
primary,floquet_cartan_z,Floquet-Cartan / Z,2,-0.20808060376372692,-0.23559782442217453,-0.18122176726500602,6,chi_rel,0.08,0.24
independent,haar_random_pauli,Haar / random Pauli,3,-0.19769180981953918,-0.23585780930354902,-0.15906964613779237,6,chi_rel,0.08,0.24
primary,haar_random_pauli,Haar / random Pauli,3,-0.18815607711985494,-0.22255233976764524,-0.15416104798867217,6,chi_rel,0.08,0.24
independent,haar_weak_z_eta06,Haar / weak Z,4,-0.178141024967613,-0.20693245873295438,-0.1488110522213269,6,chi_rel,0.08,0.24
primary,haar_weak_z_eta06,Haar / weak Z,4,-0.1825876945112892,-0.20370551419786292,-0.16159603230777536,6,chi_rel,0.08,0.24
