run,protocol,kind,n,inv_n,beta,ci_low,ci_high,rows,trajectories,eligible_strata,min_p,max_p,fit_model,a_over_n,protocol_order,run_order
primary,z_projective,thermodynamic_limit,0,0,-0.0517583020059,-0.0545343165215,-0.0488976250545,0,0,0,,,beta_n = beta_infinity + a/n,0.737528084766,0,0
primary,z_projective,finite_size,256,0.00390625,-0.0521300363926,-0.0557866374559,-0.048417804348,17630,6360,37,0.2,0.34,,,0,0
primary,z_projective,finite_size,128,0.0078125,-0.044820577875,-0.0478668636483,-0.0414080673413,19973,7082,30,0.2,0.34,,,0,0
primary,z_projective,finite_size,64,0.015625,-0.0387174824968,-0.0411880467618,-0.0362635128736,20994,7197,23,0.2,0.34,,,0,0
primary,z_projective,finite_size,32,0.03125,-0.0292424990972,-0.0313457550617,-0.0271922205787,21391,7200,18,0.2,0.34,,,0,0
replication,z_projective,thermodynamic_limit,0,0,-0.0491629202472,-0.0533977263001,-0.0446687268298,0,0,0,,,beta_n = beta_infinity + a/n,0.686537046119,0,1
replication,z_projective,finite_size,256,0.00390625,-0.0455090091418,-0.0516817352552,-0.0393623276391,6122,2206,31,0.22,0.34,,,0,1
replication,z_projective,finite_size,128,0.0078125,-0.0455196605365,-0.0504839404987,-0.0402208057884,6997,2553,27,0.2,0.34,,,0,1
replication,z_projective,finite_size,64,0.015625,-0.037418309278,-0.0416652440598,-0.0329151335968,7604,2687,21,0.2,0.34,,,0,1
replication,z_projective,finite_size,32,0.03125,-0.0278771539966,-0.0313424030285,-0.0242627184694,7869,2699,17,0.2,0.34,,,0,1
primary,random_pauli,thermodynamic_limit,0,0,-0.0531901424983,-0.0558561074611,-0.0505009645923,0,0,0,,,beta_n = beta_infinity + a/n,0.860010356771,1,0
primary,random_pauli,finite_size,256,0.00390625,-0.0522284319007,-0.0559835425298,-0.0484336387937,17440,6284,36,0.2,0.34,,,1,0
primary,random_pauli,finite_size,128,0.0078125,-0.0493076031167,-0.0524166375079,-0.0460460652157,19652,7045,29,0.2,0.34,,,1,0
primary,random_pauli,finite_size,64,0.015625,-0.0357379924354,-0.0381113756067,-0.0333682330422,20989,7194,23,0.2,0.34,,,1,0
primary,random_pauli,finite_size,32,0.03125,-0.0274694461792,-0.0295568213925,-0.0253896828719,21367,7200,18,0.2,0.34,,,1,0
replication,random_pauli,thermodynamic_limit,0,0,-0.0519658041452,-0.0565251975711,-0.0473611977985,0,0,0,,,beta_n = beta_infinity + a/n,0.772211781922,1,1
replication,random_pauli,finite_size,256,0.00390625,-0.0521450900796,-0.0585249750283,-0.0458232375511,5921,2170,29,0.22,0.34,,,1,1
replication,random_pauli,finite_size,128,0.0078125,-0.044120288837,-0.049717211759,-0.0387881425614,6919,2527,26,0.2,0.34,,,1,1
replication,random_pauli,finite_size,64,0.015625,-0.0391092252078,-0.0430884507937,-0.0349371480992,7614,2694,21,0.2,0.34,,,1,1
replication,random_pauli,finite_size,32,0.03125,-0.0281680416697,-0.0316546733471,-0.0248773599425,7781,2699,16,0.2,0.34,,,1,1
