curve,n,p,distance,estimate,ci_low,ci_high,trajectories,nonzero_trajectories
common,64,0.2,0,-0.0700471698276297,-0.0783018868106837,-0.0617924528445757,424,187
common,64,0.2,1,-0.0669811320910669,-0.0787735849240012,-0.0558962264281086,424,124
common,64,0.2,2,-0.0259433962324555,-0.0337264151021922,-0.0188679245326949,424,51
common,64,0.2,4,-0.0108490566062996,-0.0169811320794254,-0.00566037735980848,424,19
common,64,0.2,8,-0.00141509433995212,-0.00283018867990424,-0.000235849056658686,424,5
common,64,0.2,16,-0.000943396226634746,-0.00235849056658687,0,424,2
common,64,0.26,0,-0.0543820224845718,-0.0615730337222011,-0.0474157303481184,445,164
common,64,0.26,1,-0.043146067425776,-0.0523595505739886,-0.0339325842775635,445,92
common,64,0.26,2,-0.021797752814064,-0.0292134831528692,-0.0150561797787864,445,42
common,64,0.26,4,-0.00674157303527751,-0.0110112359576199,-0.00314606741646284,445,14
common,64,0.26,8,-0.0013483146070555,-0.00359550561881467,0,445,2
common,64,0.26,16,0,0,0,445,0
common,64,0.34,0,-0.0433839479493635,-0.0496746204020212,-0.0373101952364526,461,151
common,64,0.34,1,-0.0388286334146804,-0.0481561822237935,-0.0303687635645545,461,83
common,64,0.34,2,-0.0188720173579732,-0.0260303687696182,-0.0125759219118218,461,33
common,64,0.34,4,-0.00542299349367045,-0.00954446854885999,-0.00216919739746818,461,10
common,64,0.34,8,-0.000867678958987272,-0.00216919739746818,0,461,2
common,64,0.34,16,0,0,0,461,0
common,128,0.2,0,-0.069683257918552,-0.0778280542986426,-0.0619909502262443,442,192
common,128,0.2,1,-0.0624434389140271,-0.073076923076923,-0.0522567873303168,442,131
common,128,0.2,2,-0.0244343891402715,-0.0319004524886878,-0.0176414027149322,442,51
common,128,0.2,4,-0.00882352941176471,-0.0135746606334842,-0.00475113122171946,442,18
common,128,0.2,8,-0.00158371040723982,-0.00384615384615385,-0.000226244343891403,442,4
common,128,0.2,16,-0.00135746606334842,-0.00361990950226244,0,442,2
common,128,0.26,0,-0.0586046511627907,-0.066046511627907,-0.0509302325581395,430,168
common,128,0.26,1,-0.0446511627906976,-0.053953488372093,-0.0353488372093023,430,90
common,128,0.26,2,-0.0216279069767442,-0.0288372093023256,-0.0151162790697674,430,45
common,128,0.26,4,-0.00651162790697674,-0.0111627906976744,-0.0027906976744186,430,13
common,128,0.26,8,-0.000465116279069767,-0.0013953488372093,0,430,1
common,128,0.26,16,-0.000232558139534884,-0.000697674418604651,0,430,1
common,128,0.34,0,-0.041875,-0.0479166666666667,-0.0360416666666666,480,154
common,128,0.34,1,-0.0377083333333333,-0.0460416666666667,-0.0297916666666666,480,95
common,128,0.34,2,-0.0222916666666667,-0.0297916666666667,-0.0154166666666667,480,44
common,128,0.34,4,-0.006875,-0.01125,-0.003125,480,15
common,128,0.34,8,-0.000208333333333333,-0.000625,0,480,1
common,128,0.34,16,0,0,0,480,0
common,256,0.2,0,-0.0596774193548386,-0.0675115207373271,-0.0518433179723502,434,165
common,256,0.2,1,-0.0619815668202764,-0.0730472350230414,-0.0513824884792626,434,116
common,256,0.2,2,-0.032258064516129,-0.0417050691244239,-0.0237327188940092,434,57
common,256,0.2,4,-0.00645161290322581,-0.0108294930875576,-0.00276497695852535,434,12
common,256,0.2,8,-0.00115207373271889,-0.00345622119815668,0,434,2
common,256,0.2,16,0,0,0,434,0
common,256,0.26,0,-0.0545034642032332,-0.0618937644341801,-0.0473441108545034,433,159
common,256,0.26,1,-0.046189376443418,-0.055433025404157,-0.0374133949191685,433,105
common,256,0.26,2,-0.0228637413394919,-0.0302540415704388,-0.0159353348729792,433,45
common,256,0.26,4,-0.00438799076212471,-0.00762124711316397,-0.00184757505773672,433,9
common,256,0.26,8,-0.00046189376443418,-0.00138568129330254,0,433,1
common,256,0.26,16,0,0,0,433,0
common,256,0.34,0,-0.0415966386554621,-0.0476943277310925,-0.0357142857142856,476,148
common,256,0.34,1,-0.0388655462184874,-0.0478991596638655,-0.0304621848739496,476,87
common,256,0.34,2,-0.00882352941176471,-0.0134453781512605,-0.00483193277310924,476,20
common,256,0.34,4,-0.00294117647058823,-0.00546218487394958,-0.00105042016806723,476,9
common,256,0.34,8,-0.000630252100840336,-0.00168067226890756,0,476,2
common,256,0.34,16,0,0,0,476,0
