estimand,scope,n,p,estimate,ci_low,ci_high,trajectories
original_unconditional,cell,64,0.2,0.082666666685914,0.0636666666814902,0.101500000023632,600
original_unconditional,cell,64,0.26,0.0746666666840514,0.0568333333465659,0.0931666666883587,600
original_unconditional,cell,64,0.34,0.0658333333486614,0.0498333333449361,0.0831666666860304,600
original_unconditional,cell,128,0.2,0.0781666666666667,0.0596625,0.097,600
original_unconditional,cell,128,0.26,0.0765,0.0591666666666667,0.0941666666666667,600
original_unconditional,cell,128,0.34,0.0563333333333334,0.0406625,0.0725041666666666,600
original_unconditional,cell,256,0.2,0.0781666666666667,0.0608291666666667,0.0965,600
original_unconditional,cell,256,0.26,0.0791666666666667,0.0611666666666667,0.0983333333333334,600
original_unconditional,cell,256,0.34,0.0511666666666667,0.0358333333333333,0.0681666666666667,600
original_unconditional,equal_cell_pooled,,,0.0714074074131808,0.0655370370427692,0.0772592592654698,5400
original_conditional,cell,64,0.2,-0.0587668593585767,-0.0655154142734428,-0.0522109826711159,519
original_conditional,cell,64,0.26,-0.0458801498234164,-0.0516853932704609,-0.0402621722940185,534
original_conditional,cell,64,0.34,-0.0392660550550139,-0.0444036697351092,-0.0341284403749186,545
original_conditional,cell,128,0.2,-0.0615384615384615,-0.0682692307692307,-0.0549951923076924,520
original_conditional,cell,128,0.26,-0.0498091603053435,-0.0559160305343511,-0.0437022900763359,524
original_conditional,cell,128,0.34,-0.0369090909090909,-0.042,-0.0321818181818182,550
original_conditional,cell,256,0.2,-0.0522900763358779,-0.058587786259542,-0.0458015267175573,524
original_conditional,cell,256,0.26,-0.045873320537428,-0.0518234165067178,-0.0401151631477927,521
original_conditional,cell,256,0.34,-0.0365280289330922,-0.0415913200723327,-0.0314647377938517,553
original_conditional,equal_cell_pooled,,,-0.0474290225329223,-0.049391626689223,-0.0454882219727547,4790
strict_same_side,cell,64,0.2,-0.0588007737080813,-0.0653771760306957,-0.052224371385467,517
strict_same_side,cell,64,0.26,-0.0457786116429288,-0.0514071294678791,-0.0401454033864578,533
strict_same_side,cell,64,0.34,-0.0392660550550139,-0.0444036697351092,-0.0341284403749186,545
strict_same_side,cell,128,0.2,-0.0615384615384615,-0.0680769230769231,-0.055,520
strict_same_side,cell,128,0.26,-0.05,-0.0562977099236641,-0.0438931297709924,524
strict_same_side,cell,128,0.34,-0.0369090909090909,-0.0418181818181818,-0.032,550
strict_same_side,cell,256,0.2,-0.0524809160305343,-0.058969465648855,-0.0463740458015267,524
strict_same_side,cell,256,0.26,-0.0459615384615384,-0.0519230769230769,-0.0401923076923077,520
strict_same_side,cell,256,0.34,-0.0365280289330922,-0.0415913200723327,-0.0316455696202532,553
strict_same_side,equal_cell_pooled,,,-0.0474737195865268,-0.0493378474023143,-0.0454699505969751,4786
