run,family,family_label,family_order,estimate,ci_low,ci_high,common_cells,response,p_low,p_high
independent,haar_z,Haar / Z,0,-0.20743235710923266,-0.24630629983468028,-0.16900181638766903,6,chi_rel,0.08,0.24
primary,haar_z,Haar / Z,0,-0.2572664537764646,-0.28891473043739307,-0.2261435203861254,6,chi_rel,0.08,0.24
independent,clifford_z,Clifford / Z,1,-0.31924809729965203,-0.45723974860388344,-0.1879354168505292,4,chi_rel,0.08,0.24
primary,clifford_z,Clifford / Z,1,-0.4055374211355147,-0.56357654387667289,-0.23094865570775439,4,chi_rel,0.08,0.24
independent,floquet_cartan_z,Floquet-Cartan / Z,2,-0.18477780051627954,-0.21999588629032241,-0.15006427910516046,6,chi_rel,0.08,0.24
primary,floquet_cartan_z,Floquet-Cartan / Z,2,-0.20808060376372692,-0.23582109650362909,-0.18171926906788113,6,chi_rel,0.08,0.24
independent,haar_random_pauli,Haar / random Pauli,3,-0.19769180981953918,-0.23534389110701312,-0.16074642031913949,6,chi_rel,0.08,0.24
primary,haar_random_pauli,Haar / random Pauli,3,-0.18815607711985494,-0.21786222731482555,-0.15819382351663935,6,chi_rel,0.08,0.24
independent,haar_weak_z_eta06,Haar / weak Z,4,-0.178141024967613,-0.21336254232532165,-0.14191189161942144,6,chi_rel,0.08,0.24
primary,haar_weak_z_eta06,Haar / weak Z,4,-0.1825876945112892,-0.20417857917642704,-0.16076060745588494,6,chi_rel,0.08,0.24
