run,family,n,tau,p_measure,eligible_trajectories,original_confirmatory_trajectories,cell_mean
primary,haar_z,10,6,0.080000000000000002,12,12,0.25519717458013963
primary,haar_z,10,6,0.23999999999999999,12,12,0.019591966231079436
primary,haar_z,10,8,0.080000000000000002,12,12,0.24478732676221959
primary,haar_z,10,8,0.23999999999999999,11,12,-0.035492352551238032
primary,haar_z,12,6,0.080000000000000002,12,12,0.42792942467983036
primary,haar_z,12,6,0.23999999999999999,12,12,0.23057291186991957
primary,haar_z,12,8,0.080000000000000002,12,12,0.44210273041760312
primary,haar_z,12,8,0.23999999999999999,12,12,0.23273800327612695
primary,haar_z,14,6,0.080000000000000002,12,12,0.30157375073189491
primary,haar_z,14,6,0.23999999999999999,12,12,-0.0086413104032549912
primary,haar_z,14,8,0.080000000000000002,12,12,0.2685553222419052
primary,haar_z,14,8,0.23999999999999999,12,12,-0.042222211667827275
independent,haar_z,10,6,0.080000000000000002,8,8,0.20558248779628233
independent,haar_z,10,6,0.23999999999999999,7,8,0.038298421123179542
independent,haar_z,10,8,0.080000000000000002,8,8,0.19758872686363121
independent,haar_z,10,8,0.23999999999999999,8,8,0.0058246329318384325
independent,haar_z,12,6,0.080000000000000002,8,8,0.38106529396297806
independent,haar_z,12,6,0.23999999999999999,8,8,0.22077885697606509
independent,haar_z,12,8,0.080000000000000002,8,8,0.42637665801063673
independent,haar_z,12,8,0.23999999999999999,8,8,0.18656777885486903
independent,haar_z,14,6,0.080000000000000002,8,8,0.27105623931599199
independent,haar_z,14,6,0.23999999999999999,8,8,0.023630858167016267
independent,haar_z,14,8,0.080000000000000002,8,8,0.33506340867256823
independent,haar_z,14,8,0.23999999999999999,8,8,0.097038123913724725
primary,clifford_z,10,6,0.080000000000000002,12,12,0.18343692885687982
primary,clifford_z,10,6,0.23999999999999999,3,12,-0.42787935714409331
primary,clifford_z,10,8,0.080000000000000002,12,12,0.18154322909517442
primary,clifford_z,10,8,0.23999999999999999,3,12,-0.27150544556063599
primary,clifford_z,12,8,0.080000000000000002,12,12,0.28039515457074565
primary,clifford_z,12,8,0.23999999999999999,3,12,0.068490833348106739
primary,clifford_z,14,6,0.080000000000000002,12,12,0.17342925181201133
primary,clifford_z,14,6,0.23999999999999999,7,12,-0.17245115085062449
independent,clifford_z,10,6,0.080000000000000002,8,8,0.1987570225869762
independent,clifford_z,10,6,0.23999999999999999,3,8,-0.23480959555328126
independent,clifford_z,10,8,0.080000000000000002,7,8,0.098399738372137655
independent,clifford_z,10,8,0.23999999999999999,4,8,-0.31718293361273009
independent,clifford_z,12,8,0.080000000000000002,8,8,0.33712098683367947
independent,clifford_z,12,8,0.23999999999999999,4,8,0.092412695771574502
independent,clifford_z,14,6,0.080000000000000002,8,8,0.16283103512330488
independent,clifford_z,14,6,0.23999999999999999,3,8,-0.02030377288807254
primary,floquet_cartan_z,10,6,0.080000000000000002,12,12,0.2771711745842419
primary,floquet_cartan_z,10,6,0.23999999999999999,11,12,0.069441756997482493
primary,floquet_cartan_z,10,8,0.080000000000000002,12,12,0.31011384043747897
primary,floquet_cartan_z,10,8,0.23999999999999999,12,12,0.099909060565396682
primary,floquet_cartan_z,12,6,0.080000000000000002,12,12,0.31089273290249586
primary,floquet_cartan_z,12,6,0.23999999999999999,12,12,0.10413706800546152
primary,floquet_cartan_z,12,8,0.080000000000000002,12,12,0.26939323115935326
primary,floquet_cartan_z,12,8,0.23999999999999999,11,12,0.13450699923425072
primary,floquet_cartan_z,14,6,0.080000000000000002,12,12,0.30416926551995271
primary,floquet_cartan_z,14,6,0.23999999999999999,12,12,0.081294052551192444
primary,floquet_cartan_z,14,8,0.080000000000000002,12,12,0.36215980477890675
primary,floquet_cartan_z,14,8,0.23999999999999999,12,12,0.096127489446284367
independent,floquet_cartan_z,10,6,0.080000000000000002,8,8,0.2770621968625836
independent,floquet_cartan_z,10,6,0.23999999999999999,7,8,0.14736431254847024
independent,floquet_cartan_z,10,8,0.080000000000000002,8,8,0.26630112835696762
independent,floquet_cartan_z,10,8,0.23999999999999999,7,8,0.073914699904403705
independent,floquet_cartan_z,12,6,0.080000000000000002,8,8,0.30039994205051052
independent,floquet_cartan_z,12,6,0.23999999999999999,8,8,0.091056767300266406
independent,floquet_cartan_z,12,8,0.080000000000000002,8,8,0.33471478720158776
independent,floquet_cartan_z,12,8,0.23999999999999999,8,8,0.1176170896717067
independent,floquet_cartan_z,14,6,0.080000000000000002,8,8,0.32899076118870563
independent,floquet_cartan_z,14,6,0.23999999999999999,8,8,0.1463852851820851
independent,floquet_cartan_z,14,8,0.080000000000000002,8,8,0.27880228599634782
independent,floquet_cartan_z,14,8,0.23999999999999999,8,8,0.10126614395209367
primary,haar_random_pauli,10,6,0.080000000000000002,12,12,0.22541227636042116
primary,haar_random_pauli,10,6,0.23999999999999999,11,12,0.044196784317509202
primary,haar_random_pauli,10,8,0.080000000000000002,12,12,0.23973250029528845
primary,haar_random_pauli,10,8,0.23999999999999999,12,12,0.042045837972040347
primary,haar_random_pauli,12,6,0.080000000000000002,12,12,0.36624268429367995
primary,haar_random_pauli,12,6,0.23999999999999999,12,12,0.24442635892648257
primary,haar_random_pauli,12,8,0.080000000000000002,12,12,0.36835075940740203
primary,haar_random_pauli,12,8,0.23999999999999999,12,12,0.22523173482911774
primary,haar_random_pauli,14,6,0.080000000000000002,12,12,0.2858553377200852
primary,haar_random_pauli,14,6,0.23999999999999999,12,12,0.050201150708313012
primary,haar_random_pauli,14,8,0.080000000000000002,12,12,0.25673700109446673
primary,haar_random_pauli,14,8,0.23999999999999999,12,12,0.0072922296987512928
independent,haar_random_pauli,10,6,0.080000000000000002,8,8,0.17682926576759955
independent,haar_random_pauli,10,6,0.23999999999999999,8,8,0.044396631820960916
independent,haar_random_pauli,10,8,0.080000000000000002,8,8,0.29501937854606924
independent,haar_random_pauli,10,8,0.23999999999999999,8,8,0.065124624732324818
independent,haar_random_pauli,12,6,0.080000000000000002,8,8,0.46594544443623109
independent,haar_random_pauli,12,6,0.23999999999999999,8,8,0.28214261915940408
independent,haar_random_pauli,12,8,0.080000000000000002,8,8,0.40878835293009158
independent,haar_random_pauli,12,8,0.23999999999999999,8,8,0.24061781872998081
independent,haar_random_pauli,14,6,0.080000000000000002,8,8,0.28582748676930958
independent,haar_random_pauli,14,6,0.23999999999999999,8,8,0.0008489938543785585
independent,haar_random_pauli,14,8,0.080000000000000002,8,8,0.26439502454414732
independent,haar_random_pauli,14,8,0.23999999999999999,8,8,0.07752340577916457
primary,haar_weak_z_eta06,10,6,0.080000000000000002,12,12,0.31251454155554093
primary,haar_weak_z_eta06,10,6,0.23999999999999999,12,12,0.13032851061640305
primary,haar_weak_z_eta06,10,8,0.080000000000000002,12,12,0.29770925770258844
primary,haar_weak_z_eta06,10,8,0.23999999999999999,12,12,0.085764236360730314
primary,haar_weak_z_eta06,12,6,0.080000000000000002,12,12,0.44261990086036201
primary,haar_weak_z_eta06,12,6,0.23999999999999999,12,12,0.30133665573897112
primary,haar_weak_z_eta06,12,8,0.080000000000000002,12,12,0.45387361474804511
primary,haar_weak_z_eta06,12,8,0.23999999999999999,12,12,0.2987313165690107
primary,haar_weak_z_eta06,14,6,0.080000000000000002,12,12,0.40222742633197112
primary,haar_weak_z_eta06,14,6,0.23999999999999999,12,12,0.22386384720707023
primary,haar_weak_z_eta06,14,8,0.080000000000000002,12,12,0.38022705750657626
primary,haar_weak_z_eta06,14,8,0.23999999999999999,12,12,0.1536210651451636
independent,haar_weak_z_eta06,10,6,0.080000000000000002,8,8,0.29794898782352108
independent,haar_weak_z_eta06,10,6,0.23999999999999999,8,8,0.083875913506482713
independent,haar_weak_z_eta06,10,8,0.080000000000000002,8,8,0.27895736892506839
independent,haar_weak_z_eta06,10,8,0.23999999999999999,8,8,0.043811796471805484
independent,haar_weak_z_eta06,12,6,0.080000000000000002,8,8,0.45885562446688166
independent,haar_weak_z_eta06,12,6,0.23999999999999999,8,8,0.34975363207034488
independent,haar_weak_z_eta06,12,8,0.080000000000000002,8,8,0.45312915319803926
independent,haar_weak_z_eta06,12,8,0.23999999999999999,8,8,0.34816896995560398
independent,haar_weak_z_eta06,14,6,0.080000000000000002,8,8,0.35235576997026175
independent,haar_weak_z_eta06,14,6,0.23999999999999999,8,8,0.14311791743290952
independent,haar_weak_z_eta06,14,8,0.080000000000000002,8,8,0.36620185987039017
independent,haar_weak_z_eta06,14,8,0.23999999999999999,8,8,0.1698743850113382
