run,family,n,tau,contrast
primary,haar_z,10,6.0,-0.2356052083490602
primary,haar_z,10,8.0,-0.2802796793134576
primary,haar_z,12,6.0,-0.19735651280991065
primary,haar_z,12,8.0,-0.20936472714147622
primary,haar_z,14,6.0,-0.3102150611351499
primary,haar_z,14,8.0,-0.3107775339097325
independent,haar_z,10,6.0,-0.16728406667310275
independent,haar_z,10,8.0,-0.19176409393179278
independent,haar_z,12,6.0,-0.16028643698691297
independent,haar_z,12,8.0,-0.23980887915576773
independent,haar_z,14,6.0,-0.24742538114897572
independent,haar_z,14,8.0,-0.2380252847588435
primary,clifford_z,10,6.0,-0.6113162860009731
primary,clifford_z,10,8.0,-0.45304867465581045
primary,clifford_z,12,8.0,-0.21190432122263891
primary,clifford_z,14,6.0,-0.3458804026626358
independent,clifford_z,10,6.0,-0.43356661814025743
independent,clifford_z,10,8.0,-0.41558267198486776
independent,clifford_z,12,8.0,-0.2447082910621049
independent,clifford_z,14,6.0,-0.18313480801137738
primary,floquet_cartan_z,10,6.0,-0.2077294175867594
primary,floquet_cartan_z,10,8.0,-0.2102047798720823
primary,floquet_cartan_z,12,6.0,-0.2067556648970344
primary,floquet_cartan_z,12,8.0,-0.1348862319251025
primary,floquet_cartan_z,14,6.0,-0.2228752129687602
primary,floquet_cartan_z,14,8.0,-0.2660323153326224
independent,floquet_cartan_z,10,6.0,-0.12969788431411336
independent,floquet_cartan_z,10,8.0,-0.19238642845256393
independent,floquet_cartan_z,12,6.0,-0.2093431747502441
independent,floquet_cartan_z,12,8.0,-0.21709769752988106
independent,floquet_cartan_z,14,6.0,-0.18260547600662055
independent,floquet_cartan_z,14,8.0,-0.17753614204425416
primary,haar_random_pauli,10,6.0,-0.18121549204291196
primary,haar_random_pauli,10,8.0,-0.19768666232324814
primary,haar_random_pauli,12,6.0,-0.12181632536719741
primary,haar_random_pauli,12,8.0,-0.1431190245782843
primary,haar_random_pauli,14,6.0,-0.23565418701177213
primary,haar_random_pauli,14,8.0,-0.2494447713957155
independent,haar_random_pauli,10,6.0,-0.13243263394663862
independent,haar_random_pauli,10,8.0,-0.2298947538137444
independent,haar_random_pauli,12,6.0,-0.183802825276827
independent,haar_random_pauli,12,8.0,-0.16817053420011077
independent,haar_random_pauli,14,6.0,-0.28497849291493105
independent,haar_random_pauli,14,8.0,-0.1868716187649828
primary,haar_weak_z_eta06,10,6.0,-0.18218603093913782
primary,haar_weak_z_eta06,10,8.0,-0.2119450213418581
primary,haar_weak_z_eta06,12,6.0,-0.14128324512139095
primary,haar_weak_z_eta06,12,8.0,-0.1551422981790344
primary,haar_weak_z_eta06,14,6.0,-0.17836357912490092
primary,haar_weak_z_eta06,14,8.0,-0.2266059923614127
independent,haar_weak_z_eta06,10,6.0,-0.21407307431703843
independent,haar_weak_z_eta06,10,8.0,-0.2351455724532629
independent,haar_weak_z_eta06,12,6.0,-0.10910199239653684
independent,haar_weak_z_eta06,12,8.0,-0.10496018324243533
independent,haar_weak_z_eta06,14,6.0,-0.20923785253735222
independent,haar_weak_z_eta06,14,8.0,-0.19632747485905203
