run,family,probe,central_spectrum_contribution,neighbor_P_L_contribution,boundary_cross_P_Lb_contribution,neighbor_P_R_contribution,reconstruction,observed_response_contrast,common_cells_within_run,delta_P_A,D_weighted_delta_P_A,delta_P_L,D_weighted_delta_P_L,delta_P_Lb,D_weighted_delta_P_Lb,delta_P_R,D_weighted_delta_P_R
primary_rank4,clifford_z,haar_or_clifford_2design,0.0,-0.053270986293577315,0.0,-0.053790260532209526,-0.10706124682578684,-0.10706124682578684,6,0.0,0.0,0.1304135312430702,0.13317746573394326,0.17203140895614208,0.1757965672314875,0.13207129467077391,0.13447565133052378
primary_rank4,clifford_z,cartan_xy_pi8,0.0,-0.04439248857798109,0.01464971393595729,-0.0448252171101746,-0.0745679917521984,-0.0745679917521984,6,0.0,0.0,0.1304135312430702,0.13317746573394326,0.17203140895614208,0.1757965672314875,0.13207129467077391,0.13447565133052378
primary_rank4,clifford_z,cartan_xx_pi4,0.0,-0.05918998477064145,0.03906590382921944,-0.059766956146899454,-0.07989103708832146,-0.07989103708832147,6,0.0,0.0,0.1304135312430702,0.13317746573394326,0.17203140895614208,0.1757965672314875,0.13207129467077391,0.13447565133052378
primary_rank4,floquet_cartan_z,haar_or_clifford_2design,0.0,-0.05319459532047079,0.0,-0.05492341008470595,-0.10811800540517674,-0.10811800540517674,6,0.0,0.0,0.130606790843121,0.13298648830117696,0.15394405592409316,0.15660240025410546,0.13483670922048246,0.13730852521176487
primary_rank4,floquet_cartan_z,cartan_xy_pi8,0.0,-0.04432882943372565,0.013050200021175455,-0.045769508403921626,-0.07704813781647182,-0.07704813781647182,6,0.0,0.0,0.130606790843121,0.13298648830117696,0.15394405592409316,0.15660240025410546,0.13483670922048246,0.13730852521176487
primary_rank4,floquet_cartan_z,cartan_xx_pi4,0.0,-0.059105105911634204,0.034800533389801214,-0.061026011205228825,-0.08533058372706182,-0.08533058372706182,6,0.0,0.0,0.130606790843121,0.13298648830117696,0.15394405592409316,0.15660240025410546,0.13483670922048246,0.13730852521176487
primary_rank4,haar_random_pauli,haar_or_clifford_2design,-9.550305588173389e-18,-0.03824089909436915,0.0,-0.033149956236132865,-0.07139085533050203,-0.07139085533050203,6,-9.25185853854297e-18,-9.550305588173389e-18,0.09391817674849719,0.09560224773592287,0.13054907686545883,0.13298901300165697,0.08140633448485414,0.08287489059033216
primary_rank4,haar_random_pauli,cartan_xy_pi8,-7.162729191130042e-18,-0.03186741591197429,0.011082417750138079,-0.02762496353011072,-0.04840996169194694,-0.048409961691946946,6,-9.25185853854297e-18,-9.550305588173389e-18,0.09391817674849719,0.09560224773592287,0.13054907686545883,0.13298901300165697,0.08140633448485414,0.08287489059033216
primary_rank4,haar_random_pauli,cartan_xx_pi4,-8.48916052282079e-18,-0.04248988788263238,0.02955311400036821,-0.03683328470681429,-0.049770058589078466,-0.04977005858907848,6,-9.25185853854297e-18,-9.550305588173389e-18,0.09391817674849719,0.09560224773592287,0.13054907686545883,0.13298901300165697,0.08140633448485414,0.08287489059033216
primary_rank4,haar_weak_z_eta06,haar_or_clifford_2design,0.0,-0.026729226017803195,0.0,-0.025026697427280184,-0.05175592344508338,-0.051755923445083375,6,0.0,0.0,0.06565380163795563,0.06682306504450798,0.07517636354151318,0.07658762193087648,0.061324001883925394,0.06256674356820045
primary_rank4,haar_weak_z_eta06,cartan_xy_pi8,0.0,-0.022274355014835993,0.00638230182757304,-0.02085558118940015,-0.036747634376663105,-0.0367476343766631,6,0.0,0.0,0.06565380163795563,0.06682306504450798,0.07517636354151318,0.07658762193087648,0.061324001883925394,0.06256674356820045
primary_rank4,haar_weak_z_eta06,cartan_xx_pi4,0.0,-0.029699140019781325,0.017019471540194772,-0.02780744158586687,-0.04048711006545343,-0.04048711006545341,6,0.0,0.0,0.06565380163795563,0.06682306504450798,0.07517636354151318,0.07658762193087648,0.061324001883925394,0.06256674356820045
primary_rank4,haar_z,haar_or_clifford_2design,-9.550305588173389e-18,-0.04932627116968524,0.0,-0.04846866004520368,-0.09779493121488893,-0.09779493121488893,6,-9.25185853854297e-18,-9.550305588173389e-18,0.12096577518163343,0.12331567792421311,0.1569026986202192,0.15986594901743892,0.11906340324026214,0.12117165011300919
primary_rank4,haar_z,cartan_xy_pi8,-7.162729191130042e-18,-0.0411052259747377,0.013322162418119912,-0.04039055003766973,-0.06817361359428753,-0.06817361359428753,6,-9.25185853854297e-18,-9.550305588173389e-18,0.12096577518163343,0.12331567792421311,0.1569026986202192,0.15986594901743892,0.11906340324026214,0.12117165011300919
primary_rank4,haar_z,cartan_xx_pi4,-8.48916052282079e-18,-0.054806967966316934,0.035525766448319764,-0.053854066716892975,-0.07313526823489015,-0.07313526823489015,6,-9.25185853854297e-18,-9.550305588173389e-18,0.12096577518163343,0.12331567792421311,0.1569026986202192,0.15986594901743892,0.11906340324026214,0.12117165011300919
