run,intervention_rank,family,probe,estimate,archived_ci_low,archived_ci_high,archived_bootstrap_reps,p_low,p_high,common_cells_within_run,interval_status
primary_rank4,4,clifford_z,haar_or_clifford_2design,-0.10706124682578684,-0.14164045170256906,-0.0708858923732118,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,clifford_z,cartan_xy_pi8,-0.0745679917521984,-0.0969677539719631,-0.050588285120824916,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,clifford_z,cartan_xx_pi4,-0.07989103708832147,-0.10534275514480383,-0.05380826142766509,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,floquet_cartan_z,haar_or_clifford_2design,-0.10811800540517674,-0.12238244226243183,-0.0935242909460988,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,floquet_cartan_z,cartan_xy_pi8,-0.07704813781647182,-0.0875913774932344,-0.06595764742799064,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,floquet_cartan_z,cartan_xx_pi4,-0.08533058372706182,-0.10013895801300761,-0.07087257583242454,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_random_pauli,haar_or_clifford_2design,-0.07139085533050203,-0.08268860015027255,-0.06013129458051262,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_random_pauli,cartan_xy_pi8,-0.048409961691946946,-0.056504347078290024,-0.04005282421639755,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_random_pauli,cartan_xx_pi4,-0.04977005858907848,-0.06029512582639116,-0.03955166447762529,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_weak_z_eta06,haar_or_clifford_2design,-0.051755923445083375,-0.05777013209349725,-0.04559495411786522,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_weak_z_eta06,cartan_xy_pi8,-0.0367476343766631,-0.04131567942693206,-0.032185096272924034,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_weak_z_eta06,cartan_xx_pi4,-0.04048711006545341,-0.04602526815831552,-0.03505708193093832,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_z,haar_or_clifford_2design,-0.09779493121488893,-0.11017973445602537,-0.08550551932180965,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_z,cartan_xy_pi8,-0.06817361359428753,-0.07721460259931784,-0.05937047463999518,4000,0.08,0.24,6,archived_variable_support_not_regenerated
primary_rank4,4,haar_z,cartan_xx_pi4,-0.07313526823489015,-0.08415243800836514,-0.06244008582026155,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,clifford_z,haar_or_clifford_2design,-0.08067501467316238,-0.11387767652052733,-0.04775264195115169,4000,0.08,0.24,4,archived_variable_support_not_regenerated
independent_seed_rank4,4,clifford_z,cartan_xy_pi8,-0.06125644338470688,-0.09115551873695767,-0.03299716280605053,4000,0.08,0.24,4,archived_variable_support_not_regenerated
independent_seed_rank4,4,clifford_z,cartan_xx_pi4,-0.073711610500149,-0.11320279272301352,-0.03733698795165321,4000,0.08,0.24,4,archived_variable_support_not_regenerated
independent_seed_rank4,4,floquet_cartan_z,haar_or_clifford_2design,-0.10372828084476837,-0.12522169206498956,-0.08449371700609368,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,floquet_cartan_z,cartan_xy_pi8,-0.0711594007425931,-0.08658318735748206,-0.05637506680085198,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,floquet_cartan_z,cartan_xx_pi4,-0.07450475659717226,-0.0941875966307328,-0.05571180633759398,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_random_pauli,haar_or_clifford_2design,-0.07930090808588826,-0.09384348967362614,-0.06475770839089062,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_random_pauli,cartan_xy_pi8,-0.054752869941996955,-0.06677789368770531,-0.04351594932819543,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_random_pauli,cartan_xx_pi4,-0.057895533083227126,-0.07404955349387485,-0.042548215610893135,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_weak_z_eta06,haar_or_clifford_2design,-0.050690722921670074,-0.06104235134618835,-0.040259874003579464,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_weak_z_eta06,cartan_xy_pi8,-0.03643613854833391,-0.043803121547642446,-0.028924700235796245,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_weak_z_eta06,cartan_xx_pi4,-0.04084001066036811,-0.049556160701676184,-0.03190938192947089,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_z,haar_or_clifford_2design,-0.07956730871061889,-0.09489843080262497,-0.06546839225516321,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_z,cartan_xy_pi8,-0.05625102837528647,-0.06745878023313595,-0.045474426360706595,4000,0.08,0.24,6,archived_variable_support_not_regenerated
independent_seed_rank4,4,haar_z,cartan_xx_pi4,-0.061594621544520695,-0.07582727044539976,-0.04869407177656638,4000,0.08,0.24,6,archived_variable_support_not_regenerated
