run,protocol,model,power,sizes,beta_infinity,ci_low,ci_high,Q_diagonal,residual_dimension,weight_basis
primary,random_pauli,locked,1,"32,64,128,256",-0.0531901424983012,-0.0558561074611073,-0.0505009645923344,16.7832407380606,2,source_CI_width
primary,random_pauli,power_0.5,0.5,"32,64,128,256",-0.0664750578978816,-0.0708298773920255,-0.0620315280701371,7.95899078113352,2,archived_bootstrap_SD
primary,random_pauli,power_1.0,1,"32,64,128,256",-0.0532677180408795,-0.0559419521502557,-0.0505680355712237,16.5208973341582,2,archived_bootstrap_SD
primary,random_pauli,power_1.5,1.5,"32,64,128,256",-0.0488617284915318,-0.0510654506191297,-0.0466090855049425,27.9378299019711,2,archived_bootstrap_SD
primary,random_pauli,power_2.0,2,"32,64,128,256",-0.0466929250463345,-0.048740488943425,-0.0446490214499348,38.8106382572694,2,archived_bootstrap_SD
primary,random_pauli,leave_out_32,1,"64,128,256",-0.0596082303129373,-0.0637885516458985,-0.0554438999929455,1.50377685655613,1,archived_bootstrap_SD
primary,random_pauli,leave_out_64,1,"32,128,256",-0.056191446043432,-0.0591674638652398,-0.0530145199836489,0.0706251106465282,1,archived_bootstrap_SD
primary,random_pauli,leave_out_128,1,"32,64,256",-0.0509528133762825,-0.0542862011128906,-0.0474662330609894,11.6702785482638,1,archived_bootstrap_SD
primary,random_pauli,leave_out_256,1,"32,64,128",-0.051720112683281,-0.054886465085074,-0.0484111373799428,14.3002312864911,1,archived_bootstrap_SD
primary,z_projective,locked,1,"32,64,128,256",-0.051758302005895,-0.0545343165214622,-0.0488976250544612,5.21344707340744,2,source_CI_width
primary,z_projective,power_0.5,0.5,"32,64,128,256",-0.0626840866161136,-0.0670779217630974,-0.0581136570192874,0.944473431747676,2,archived_bootstrap_SD
primary,z_projective,power_1.0,1,"32,64,128,256",-0.0516856107608231,-0.0544748050419868,-0.0488219314204231,5.0738755161117,2,archived_bootstrap_SD
primary,z_projective,power_1.5,1.5,"32,64,128,256",-0.0480549152362319,-0.0503747531325017,-0.0457716796368369,10.999838891393,2,archived_bootstrap_SD
primary,z_projective,power_2.0,2,"32,64,128,256",-0.0462828932905831,-0.0484011343055573,-0.0442088399988515,16.775140508509,2,archived_bootstrap_SD
primary,z_projective,leave_out_32,1,"64,128,256",-0.0546398025924467,-0.0587753520923754,-0.0503912858187108,1.78691644007225,1,archived_bootstrap_SD
primary,z_projective,leave_out_64,1,"32,128,256",-0.0527186126601749,-0.0558134597946897,-0.049546707611749,3.00506385786455,1,archived_bootstrap_SD
primary,z_projective,leave_out_128,1,"32,64,256",-0.0525768534827541,-0.0558527889841665,-0.0490394262249161,4.32973790582421,1,archived_bootstrap_SD
primary,z_projective,leave_out_256,1,"32,64,128",-0.0493032303121251,-0.052735979407583,-0.0457559789363316,0.285479380980541,1,archived_bootstrap_SD
replication,random_pauli,locked,1,"32,64,128,256",-0.0519658041452083,-0.0565251975710634,-0.0473611977985297,1.577309156125,2,source_CI_width
replication,random_pauli,power_0.5,0.5,"32,64,128,256",-0.0634549013722598,-0.0710197791222344,-0.0559506799939742,0.570061751602376,2,archived_bootstrap_SD
replication,random_pauli,power_1.0,1,"32,64,128,256",-0.0519807349441463,-0.0565455592658854,-0.0473514382573938,1.56237756941436,2,archived_bootstrap_SD
replication,random_pauli,power_1.5,1.5,"32,64,128,256",-0.0481891821204937,-0.0518513225374437,-0.044335048687234,3.37858187358731,2,archived_bootstrap_SD
replication,random_pauli,power_2.0,2,"32,64,128,256",-0.0463342610656118,-0.0496443361813572,-0.0428996960437962,5.2636634222813,2,archived_bootstrap_SD
replication,random_pauli,leave_out_32,1,"64,128,256",-0.0540014531833565,-0.0607372956195628,-0.0468947056150145,1.02973764283551,1,archived_bootstrap_SD
replication,random_pauli,leave_out_64,1,"32,128,256",-0.0525779872434927,-0.0576681724419025,-0.0473439083367271,1.33999233099455,1,archived_bootstrap_SD
replication,random_pauli,leave_out_128,1,"32,64,256",-0.0533436002307759,-0.0590136028323063,-0.047436703202259,0.916247751677664,1,archived_bootstrap_SD
replication,random_pauli,leave_out_256,1,"32,64,128",-0.049690393349875,-0.0554497533648671,-0.0437859419606716,0.0114408080547174,1,archived_bootstrap_SD
replication,z_projective,locked,1,"32,64,128,256",-0.0491629202471905,-0.0533977263000605,-0.0446687268298408,0.743905912973056,2,source_CI_width
replication,z_projective,power_0.5,0.5,"32,64,128,256",-0.0588107482016514,-0.0658223887033478,-0.051620308329414,1.25807209348603,2,archived_bootstrap_SD
replication,z_projective,power_1.0,1,"32,64,128,256",-0.0491647990908903,-0.0534007087584834,-0.0446710366770287,0.744630469615603,2,archived_bootstrap_SD
replication,z_projective,power_1.5,1.5,"32,64,128,256",-0.0459988209604316,-0.0495565451572953,-0.042266818966088,1.38199008405171,2,archived_bootstrap_SD
replication,z_projective,power_2.0,2,"32,64,128,256",-0.0444571020400837,-0.0476973673663833,-0.0410291206046924,2.45367072828745,2,archived_bootstrap_SD
replication,z_projective,leave_out_32,1,"64,128,256",-0.0500958549122604,-0.0568659463914662,-0.0432248071620421,0.621649215826724,1,archived_bootstrap_SD
replication,z_projective,leave_out_64,1,"32,128,256",-0.049742421132723,-0.054528560123922,-0.044731085372823,0.451285341885858,1,archived_bootstrap_SD
replication,z_projective,leave_out_128,1,"32,64,256",-0.0476492366100711,-0.0533556944362142,-0.041557912022799,0.0323818309401299,1,archived_bootstrap_SD
replication,z_projective,leave_out_256,1,"32,64,128",-0.049887653263486,-0.0553197163502734,-0.0439726077688538,0.588069426531392,1,archived_bootstrap_SD
