pool,run,family,n,p_measure,times,eligibility_pattern,trajectory_count
eligible_union,primary,haar_z,10,0.08,"6,8",11,12
eligible_union,primary,haar_z,10,0.24,"6,8",10,1
eligible_union,primary,haar_z,10,0.24,"6,8",11,11
eligible_union,primary,haar_z,12,0.08,"6,8",11,12
eligible_union,primary,haar_z,12,0.24,"6,8",11,12
eligible_union,primary,haar_z,14,0.08,"6,8",11,12
eligible_union,primary,haar_z,14,0.24,"6,8",11,12
eligible_union,primary,clifford_z,10,0.08,"6,8",11,12
eligible_union,primary,clifford_z,10,0.24,"6,8",01,2
eligible_union,primary,clifford_z,10,0.24,"6,8",10,2
eligible_union,primary,clifford_z,10,0.24,"6,8",11,1
eligible_union,primary,clifford_z,12,0.08,8,1,12
eligible_union,primary,clifford_z,12,0.24,8,1,3
eligible_union,primary,clifford_z,14,0.08,6,1,12
eligible_union,primary,clifford_z,14,0.24,6,1,7
eligible_union,primary,floquet_cartan_z,10,0.08,"6,8",11,12
eligible_union,primary,floquet_cartan_z,10,0.24,"6,8",01,1
eligible_union,primary,floquet_cartan_z,10,0.24,"6,8",11,11
eligible_union,primary,floquet_cartan_z,12,0.08,"6,8",11,12
eligible_union,primary,floquet_cartan_z,12,0.24,"6,8",10,1
eligible_union,primary,floquet_cartan_z,12,0.24,"6,8",11,11
eligible_union,primary,floquet_cartan_z,14,0.08,"6,8",11,12
eligible_union,primary,floquet_cartan_z,14,0.24,"6,8",11,12
eligible_union,primary,haar_random_pauli,10,0.08,"6,8",11,12
eligible_union,primary,haar_random_pauli,10,0.24,"6,8",01,1
eligible_union,primary,haar_random_pauli,10,0.24,"6,8",11,11
eligible_union,primary,haar_random_pauli,12,0.08,"6,8",11,12
eligible_union,primary,haar_random_pauli,12,0.24,"6,8",11,12
eligible_union,primary,haar_random_pauli,14,0.08,"6,8",11,12
eligible_union,primary,haar_random_pauli,14,0.24,"6,8",11,12
eligible_union,primary,haar_weak_z_eta06,10,0.08,"6,8",11,12
eligible_union,primary,haar_weak_z_eta06,10,0.24,"6,8",11,12
eligible_union,primary,haar_weak_z_eta06,12,0.08,"6,8",11,12
eligible_union,primary,haar_weak_z_eta06,12,0.24,"6,8",11,12
eligible_union,primary,haar_weak_z_eta06,14,0.08,"6,8",11,12
eligible_union,primary,haar_weak_z_eta06,14,0.24,"6,8",11,12
eligible_union,independent,haar_z,10,0.08,"6,8",11,8
eligible_union,independent,haar_z,10,0.24,"6,8",01,1
eligible_union,independent,haar_z,10,0.24,"6,8",11,7
eligible_union,independent,haar_z,12,0.08,"6,8",11,8
eligible_union,independent,haar_z,12,0.24,"6,8",11,8
eligible_union,independent,haar_z,14,0.08,"6,8",11,8
eligible_union,independent,haar_z,14,0.24,"6,8",11,8
eligible_union,independent,clifford_z,10,0.08,"6,8",10,1
eligible_union,independent,clifford_z,10,0.08,"6,8",11,7
eligible_union,independent,clifford_z,10,0.24,"6,8",01,3
eligible_union,independent,clifford_z,10,0.24,"6,8",10,2
eligible_union,independent,clifford_z,10,0.24,"6,8",11,1
eligible_union,independent,clifford_z,12,0.08,8,1,8
eligible_union,independent,clifford_z,12,0.24,8,1,4
eligible_union,independent,clifford_z,14,0.08,6,1,8
eligible_union,independent,clifford_z,14,0.24,6,1,3
eligible_union,independent,floquet_cartan_z,10,0.08,"6,8",11,8
eligible_union,independent,floquet_cartan_z,10,0.24,"6,8",01,1
eligible_union,independent,floquet_cartan_z,10,0.24,"6,8",10,1
eligible_union,independent,floquet_cartan_z,10,0.24,"6,8",11,6
eligible_union,independent,floquet_cartan_z,12,0.08,"6,8",11,8
eligible_union,independent,floquet_cartan_z,12,0.24,"6,8",11,8
eligible_union,independent,floquet_cartan_z,14,0.08,"6,8",11,8
eligible_union,independent,floquet_cartan_z,14,0.24,"6,8",11,8
eligible_union,independent,haar_random_pauli,10,0.08,"6,8",11,8
eligible_union,independent,haar_random_pauli,10,0.24,"6,8",11,8
eligible_union,independent,haar_random_pauli,12,0.08,"6,8",11,8
eligible_union,independent,haar_random_pauli,12,0.24,"6,8",11,8
eligible_union,independent,haar_random_pauli,14,0.08,"6,8",11,8
eligible_union,independent,haar_random_pauli,14,0.24,"6,8",11,8
eligible_union,independent,haar_weak_z_eta06,10,0.08,"6,8",11,8
eligible_union,independent,haar_weak_z_eta06,10,0.24,"6,8",11,8
eligible_union,independent,haar_weak_z_eta06,12,0.08,"6,8",11,8
eligible_union,independent,haar_weak_z_eta06,12,0.24,"6,8",11,8
eligible_union,independent,haar_weak_z_eta06,14,0.08,"6,8",11,8
eligible_union,independent,haar_weak_z_eta06,14,0.24,"6,8",11,8
all_confirmatory,primary,haar_z,10,0.08,"6,8",11,12
all_confirmatory,primary,haar_z,10,0.24,"6,8",10,1
all_confirmatory,primary,haar_z,10,0.24,"6,8",11,11
all_confirmatory,primary,haar_z,12,0.08,"6,8",11,12
all_confirmatory,primary,haar_z,12,0.24,"6,8",11,12
all_confirmatory,primary,haar_z,14,0.08,"6,8",11,12
all_confirmatory,primary,haar_z,14,0.24,"6,8",11,12
all_confirmatory,primary,clifford_z,10,0.08,"6,8",11,12
all_confirmatory,primary,clifford_z,10,0.24,"6,8",00,7
all_confirmatory,primary,clifford_z,10,0.24,"6,8",01,2
all_confirmatory,primary,clifford_z,10,0.24,"6,8",10,2
all_confirmatory,primary,clifford_z,10,0.24,"6,8",11,1
all_confirmatory,primary,clifford_z,12,0.08,8,1,12
all_confirmatory,primary,clifford_z,12,0.24,8,0,9
all_confirmatory,primary,clifford_z,12,0.24,8,1,3
all_confirmatory,primary,clifford_z,14,0.08,6,1,12
all_confirmatory,primary,clifford_z,14,0.24,6,0,5
all_confirmatory,primary,clifford_z,14,0.24,6,1,7
all_confirmatory,primary,floquet_cartan_z,10,0.08,"6,8",11,12
all_confirmatory,primary,floquet_cartan_z,10,0.24,"6,8",01,1
all_confirmatory,primary,floquet_cartan_z,10,0.24,"6,8",11,11
all_confirmatory,primary,floquet_cartan_z,12,0.08,"6,8",11,12
all_confirmatory,primary,floquet_cartan_z,12,0.24,"6,8",10,1
all_confirmatory,primary,floquet_cartan_z,12,0.24,"6,8",11,11
all_confirmatory,primary,floquet_cartan_z,14,0.08,"6,8",11,12
all_confirmatory,primary,floquet_cartan_z,14,0.24,"6,8",11,12
all_confirmatory,primary,haar_random_pauli,10,0.08,"6,8",11,12
all_confirmatory,primary,haar_random_pauli,10,0.24,"6,8",01,1
all_confirmatory,primary,haar_random_pauli,10,0.24,"6,8",11,11
all_confirmatory,primary,haar_random_pauli,12,0.08,"6,8",11,12
all_confirmatory,primary,haar_random_pauli,12,0.24,"6,8",11,12
all_confirmatory,primary,haar_random_pauli,14,0.08,"6,8",11,12
all_confirmatory,primary,haar_random_pauli,14,0.24,"6,8",11,12
all_confirmatory,primary,haar_weak_z_eta06,10,0.08,"6,8",11,12
all_confirmatory,primary,haar_weak_z_eta06,10,0.24,"6,8",11,12
all_confirmatory,primary,haar_weak_z_eta06,12,0.08,"6,8",11,12
all_confirmatory,primary,haar_weak_z_eta06,12,0.24,"6,8",11,12
all_confirmatory,primary,haar_weak_z_eta06,14,0.08,"6,8",11,12
all_confirmatory,primary,haar_weak_z_eta06,14,0.24,"6,8",11,12
all_confirmatory,independent,haar_z,10,0.08,"6,8",11,8
all_confirmatory,independent,haar_z,10,0.24,"6,8",01,1
all_confirmatory,independent,haar_z,10,0.24,"6,8",11,7
all_confirmatory,independent,haar_z,12,0.08,"6,8",11,8
all_confirmatory,independent,haar_z,12,0.24,"6,8",11,8
all_confirmatory,independent,haar_z,14,0.08,"6,8",11,8
all_confirmatory,independent,haar_z,14,0.24,"6,8",11,8
all_confirmatory,independent,clifford_z,10,0.08,"6,8",10,1
all_confirmatory,independent,clifford_z,10,0.08,"6,8",11,7
all_confirmatory,independent,clifford_z,10,0.24,"6,8",00,2
all_confirmatory,independent,clifford_z,10,0.24,"6,8",01,3
all_confirmatory,independent,clifford_z,10,0.24,"6,8",10,2
all_confirmatory,independent,clifford_z,10,0.24,"6,8",11,1
all_confirmatory,independent,clifford_z,12,0.08,8,1,8
all_confirmatory,independent,clifford_z,12,0.24,8,0,4
all_confirmatory,independent,clifford_z,12,0.24,8,1,4
all_confirmatory,independent,clifford_z,14,0.08,6,1,8
all_confirmatory,independent,clifford_z,14,0.24,6,0,5
all_confirmatory,independent,clifford_z,14,0.24,6,1,3
all_confirmatory,independent,floquet_cartan_z,10,0.08,"6,8",11,8
all_confirmatory,independent,floquet_cartan_z,10,0.24,"6,8",01,1
all_confirmatory,independent,floquet_cartan_z,10,0.24,"6,8",10,1
all_confirmatory,independent,floquet_cartan_z,10,0.24,"6,8",11,6
all_confirmatory,independent,floquet_cartan_z,12,0.08,"6,8",11,8
all_confirmatory,independent,floquet_cartan_z,12,0.24,"6,8",11,8
all_confirmatory,independent,floquet_cartan_z,14,0.08,"6,8",11,8
all_confirmatory,independent,floquet_cartan_z,14,0.24,"6,8",11,8
all_confirmatory,independent,haar_random_pauli,10,0.08,"6,8",11,8
all_confirmatory,independent,haar_random_pauli,10,0.24,"6,8",11,8
all_confirmatory,independent,haar_random_pauli,12,0.08,"6,8",11,8
all_confirmatory,independent,haar_random_pauli,12,0.24,"6,8",11,8
all_confirmatory,independent,haar_random_pauli,14,0.08,"6,8",11,8
all_confirmatory,independent,haar_random_pauli,14,0.24,"6,8",11,8
all_confirmatory,independent,haar_weak_z_eta06,10,0.08,"6,8",11,8
all_confirmatory,independent,haar_weak_z_eta06,10,0.24,"6,8",11,8
all_confirmatory,independent,haar_weak_z_eta06,12,0.08,"6,8",11,8
all_confirmatory,independent,haar_weak_z_eta06,12,0.24,"6,8",11,8
all_confirmatory,independent,haar_weak_z_eta06,14,0.08,"6,8",11,8
all_confirmatory,independent,haar_weak_z_eta06,14,0.24,"6,8",11,8
