pool,run,family,batch,draws,ci_low,ci_high
eligible_union,primary,haar_z,1,10000,-0.28898451003809528,-0.22606758663859955
eligible_union,primary,haar_z,2,10000,-0.28865042415355746,-0.22624255592082876
eligible_union,primary,haar_z,3,10000,-0.28863894299250559,-0.22629279451796974
eligible_union,primary,haar_z,4,10000,-0.2890004136735127,-0.22615675859698842
eligible_union,primary,haar_z,5,10000,-0.28932311987068998,-0.22607121574200709
eligible_union,primary,clifford_z,1,10000,-0.56169487078385782,-0.23323759478134223
eligible_union,primary,clifford_z,2,10000,-0.56605233924055676,-0.23252293991535894
eligible_union,primary,clifford_z,3,10000,-0.56287508413614085,-0.22978342948092884
eligible_union,primary,clifford_z,4,10000,-0.56263162715746495,-0.23061196093828115
eligible_union,primary,clifford_z,5,10000,-0.56311047527328095,-0.22782833140937822
eligible_union,primary,floquet_cartan_z,1,10000,-0.23543320985250887,-0.18206668248161531
eligible_union,primary,floquet_cartan_z,2,10000,-0.23588898743947359,-0.18164183185453789
eligible_union,primary,floquet_cartan_z,3,10000,-0.23601315173739323,-0.18134239686361769
eligible_union,primary,floquet_cartan_z,4,10000,-0.23577278809580174,-0.18239206082553636
eligible_union,primary,floquet_cartan_z,5,10000,-0.23587956191530635,-0.18137483358175346
eligible_union,primary,haar_random_pauli,1,10000,-0.21816963377053497,-0.15836417687587118
eligible_union,primary,haar_random_pauli,2,10000,-0.218038501413894,-0.15802681302686139
eligible_union,primary,haar_random_pauli,3,10000,-0.21760019294446875,-0.15748475197430137
eligible_union,primary,haar_random_pauli,4,10000,-0.2176533109396947,-0.15853541637323804
eligible_union,primary,haar_random_pauli,5,10000,-0.21791672899817258,-0.15831373584411368
eligible_union,primary,haar_weak_z_eta06,1,10000,-0.20386997120526656,-0.16091001121914425
eligible_union,primary,haar_weak_z_eta06,2,10000,-0.20406902479465211,-0.16076040179869341
eligible_union,primary,haar_weak_z_eta06,3,10000,-0.20441894237124972,-0.1609981441867438
eligible_union,primary,haar_weak_z_eta06,4,10000,-0.2042409792549239,-0.16063480225064403
eligible_union,primary,haar_weak_z_eta06,5,10000,-0.20423565160956422,-0.1605802834256147
eligible_union,independent,haar_z,1,10000,-0.24623126486724622,-0.16893717410457246
eligible_union,independent,haar_z,2,10000,-0.24633574318063897,-0.16956068792382745
eligible_union,independent,haar_z,3,10000,-0.24623781811219322,-0.16854892173400787
eligible_union,independent,haar_z,4,10000,-0.24515236973986806,-0.1690880097397495
eligible_union,independent,haar_z,5,10000,-0.24730495002450456,-0.16906693673993547
eligible_union,independent,clifford_z,1,10000,-0.45643573395934139,-0.18876446002046363
eligible_union,independent,clifford_z,2,10000,-0.45847955222595654,-0.18685067706947514
eligible_union,independent,clifford_z,3,10000,-0.46060675464300443,-0.18748591603220738
eligible_union,independent,clifford_z,4,10000,-0.45667640400461479,-0.18817729910474582
eligible_union,independent,clifford_z,5,10000,-0.45346221577145884,-0.18947278397969031
eligible_union,independent,floquet_cartan_z,1,10000,-0.22016013806261595,-0.14997229292448261
eligible_union,independent,floquet_cartan_z,2,10000,-0.22007573808647729,-0.15013778598995522
eligible_union,independent,floquet_cartan_z,3,10000,-0.21995108691377349,-0.15023128838615152
eligible_union,independent,floquet_cartan_z,4,10000,-0.21942990654582539,-0.14947254684449643
eligible_union,independent,floquet_cartan_z,5,10000,-0.2201266670622164,-0.15066002208700705
eligible_union,independent,haar_random_pauli,1,10000,-0.23546778881078168,-0.16090068193360865
eligible_union,independent,haar_random_pauli,2,10000,-0.23548375029159796,-0.16039568792727454
eligible_union,independent,haar_random_pauli,3,10000,-0.23455177717205022,-0.16070671965337061
eligible_union,independent,haar_random_pauli,4,10000,-0.23543595769617082,-0.16075382356474877
eligible_union,independent,haar_random_pauli,5,10000,-0.2357149715643056,-0.16102803790949063
