arm,run,condition,probe_or_outcome,contrast_or_slope,estimate,ci_low,ci_high,status
central-spectrum intervention,primary_rank4,Haar / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.0977949312148889,-0.1101797344560253,-0.0855055193218096,below zero
central-spectrum intervention,primary_rank4,Haar / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0681736135942874,-0.0772146025993178,-0.0593704746399951,below zero
central-spectrum intervention,primary_rank4,Haar / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0731352682348901,-0.0841524380083651,-0.0624400858202615,below zero
central-spectrum intervention,primary_rank4,Clifford / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.1070612468257868,-0.141640451702569,-0.0708858923732118,below zero
central-spectrum intervention,primary_rank4,Clifford / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0745679917521983,-0.0969677539719631,-0.0505882851208249,below zero
central-spectrum intervention,primary_rank4,Clifford / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0798910370883214,-0.1053427551448038,-0.053808261427665,below zero
central-spectrum intervention,primary_rank4,Floquet Cartan / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.1081180054051767,-0.1223824422624318,-0.0935242909460988,below zero
central-spectrum intervention,primary_rank4,Floquet Cartan / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0770481378164718,-0.0875913774932344,-0.0659576474279906,below zero
central-spectrum intervention,primary_rank4,Floquet Cartan / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0853305837270618,-0.1001389580130076,-0.0708725758324245,below zero
central-spectrum intervention,primary_rank4,Haar / random Pauli,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.071390855330502,-0.0826886001502725,-0.0601312945805126,below zero
central-spectrum intervention,primary_rank4,Haar / random Pauli,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0484099616919469,-0.05650434707829,-0.0400528242163975,below zero
central-spectrum intervention,primary_rank4,Haar / random Pauli,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0497700585890784,-0.0602951258263911,-0.0395516644776252,below zero
central-spectrum intervention,primary_rank4,Haar / weak Z (eta=0.6),Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.0517559234450833,-0.0577701320934972,-0.0455949541178652,below zero
central-spectrum intervention,primary_rank4,Haar / weak Z (eta=0.6),locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0367476343766631,-0.041315679426932,-0.032185096272924,below zero
central-spectrum intervention,primary_rank4,Haar / weak Z (eta=0.6),locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0404871100654534,-0.0460252681583155,-0.0350570819309383,below zero
central-spectrum intervention,independent_rank4,Haar / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.0795673087106188,-0.0948984308026249,-0.0654683922551632,below zero
central-spectrum intervention,independent_rank4,Haar / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0562510283752864,-0.0674587802331359,-0.0454744263607065,below zero
central-spectrum intervention,independent_rank4,Haar / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0615946215445206,-0.0758272704453997,-0.0486940717765663,below zero
central-spectrum intervention,independent_rank4,Clifford / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.0806750146731623,-0.1138776765205273,-0.0477526419511516,below zero
central-spectrum intervention,independent_rank4,Clifford / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0612564433847068,-0.0911555187369576,-0.0329971628060505,below zero
central-spectrum intervention,independent_rank4,Clifford / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.073711610500149,-0.1132027927230135,-0.0373369879516532,below zero
central-spectrum intervention,independent_rank4,Floquet Cartan / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.1037282808447683,-0.1252216920649895,-0.0844937170060936,below zero
central-spectrum intervention,independent_rank4,Floquet Cartan / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0711594007425931,-0.086583187357482,-0.0563750668008519,below zero
central-spectrum intervention,independent_rank4,Floquet Cartan / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0745047565971722,-0.0941875966307328,-0.0557118063375939,below zero
central-spectrum intervention,independent_rank4,Haar / random Pauli,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.0793009080858882,-0.0938434896736261,-0.0647577083908906,below zero
central-spectrum intervention,independent_rank4,Haar / random Pauli,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0547528699419969,-0.0667778936877053,-0.0435159493281954,below zero
central-spectrum intervention,independent_rank4,Haar / random Pauli,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0578955330832271,-0.0740495534938748,-0.0425482156108931,below zero
central-spectrum intervention,independent_rank4,Haar / weak Z (eta=0.6),Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.05069072292167,-0.0610423513461883,-0.0402598740035794,below zero
central-spectrum intervention,independent_rank4,Haar / weak Z (eta=0.6),locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0364361385483339,-0.0438031215476424,-0.0289247002357962,below zero
central-spectrum intervention,independent_rank4,Haar / weak Z (eta=0.6),locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0408400106603681,-0.0495561607016761,-0.0319093819294708,below zero
