run,intervention_rank,family,probe,estimate,ci_low,ci_high,p_low,p_high
primary_rank4,4,clifford_z,cartan_xx_pi4,-0.0973015724913,-0.10590288355,-0.0889961228296,0.08,0.24
primary_rank4,4,clifford_z,cartan_xy_pi8,-0.0825363525663,-0.090766430779,-0.0744613365282,0.08,0.24
primary_rank4,4,clifford_z,haar_or_clifford_2design,-0.107063180985,-0.116129817224,-0.0983386072265,0.08,0.24
primary_rank4,4,floquet_cartan_z,cartan_xx_pi4,-0.089849420295,-0.0954301296537,-0.0843389907765,0.08,0.24
primary_rank4,4,floquet_cartan_z,cartan_xy_pi8,-0.0985805295422,-0.104089593763,-0.0930477535354,0.08,0.24
primary_rank4,4,floquet_cartan_z,haar_or_clifford_2design,-0.108122699349,-0.114316180782,-0.101976553186,0.08,0.24
primary_rank4,4,haar_random_pauli,cartan_xx_pi4,-0.0648048977792,-0.0711142117422,-0.0588245165459,0.08,0.24
primary_rank4,4,haar_random_pauli,cartan_xy_pi8,-0.0688050373297,-0.0749814950631,-0.0628966919132,0.08,0.24
primary_rank4,4,haar_random_pauli,haar_or_clifford_2design,-0.0713917854642,-0.0783503234994,-0.0647917803818,0.08,0.24
primary_rank4,4,haar_weak_z_eta06,cartan_xx_pi4,-0.0520453354777,-0.0565156928307,-0.0474115103578,0.08,0.24
primary_rank4,4,haar_weak_z_eta06,cartan_xy_pi8,-0.0496014295922,-0.0539206649997,-0.0454325061716,0.08,0.24
primary_rank4,4,haar_weak_z_eta06,haar_or_clifford_2design,-0.0517595103467,-0.0563115648644,-0.0474274725247,0.08,0.24
primary_rank4,4,haar_z,cartan_xx_pi4,-0.0884687205502,-0.0950789164553,-0.0819717199003,0.08,0.24
primary_rank4,4,haar_z,cartan_xy_pi8,-0.0891848730964,-0.0959946168462,-0.0825417483849,0.08,0.24
primary_rank4,4,haar_z,haar_or_clifford_2design,-0.0977941668667,-0.104938415899,-0.0907362779812,0.08,0.24
independent_seed_rank4,4,clifford_z,cartan_xx_pi4,-0.0962686144228,-0.11030390443,-0.0825675530214,0.08,0.24
independent_seed_rank4,4,clifford_z,cartan_xy_pi8,-0.083426498763,-0.0969210317258,-0.0699849601932,0.08,0.24
independent_seed_rank4,4,clifford_z,haar_or_clifford_2design,-0.107544527196,-0.12161916988,-0.0927951416612,0.08,0.24
independent_seed_rank4,4,floquet_cartan_z,cartan_xx_pi4,-0.0916835296916,-0.101287979888,-0.0820427668784,0.08,0.24
independent_seed_rank4,4,floquet_cartan_z,cartan_xy_pi8,-0.0973901798137,-0.106773150817,-0.0880168727141,0.08,0.24
independent_seed_rank4,4,floquet_cartan_z,haar_or_clifford_2design,-0.107412347895,-0.117984884696,-0.0971816642162,0.08,0.24
independent_seed_rank4,4,haar_random_pauli,cartan_xx_pi4,-0.0589159770245,-0.0696997653727,-0.0482204881605,0.08,0.24
independent_seed_rank4,4,haar_random_pauli,cartan_xy_pi8,-0.0637069356551,-0.0739134597141,-0.0533356820707,0.08,0.24
independent_seed_rank4,4,haar_random_pauli,haar_or_clifford_2design,-0.0677147693444,-0.0793372954717,-0.056413592157,0.08,0.24
independent_seed_rank4,4,haar_weak_z_eta06,cartan_xx_pi4,-0.0447629203553,-0.0523454932867,-0.0371285747229,0.08,0.24
independent_seed_rank4,4,haar_weak_z_eta06,cartan_xy_pi8,-0.0426671439855,-0.0495932477332,-0.0356095924936,0.08,0.24
independent_seed_rank4,4,haar_weak_z_eta06,haar_or_clifford_2design,-0.0448685981116,-0.0524637556252,-0.0373012609037,0.08,0.24
independent_seed_rank4,4,haar_z,cartan_xx_pi4,-0.0939729508191,-0.105602178985,-0.0820996128764,0.08,0.24
independent_seed_rank4,4,haar_z,cartan_xy_pi8,-0.0932413149314,-0.105229519656,-0.0818086483557,0.08,0.24
independent_seed_rank4,4,haar_z,haar_or_clifford_2design,-0.101306791336,-0.113897591632,-0.0884918627057,0.08,0.24
