family,probe,central_spectrum_contribution,neighbor_P_L_contribution,boundary_cross_P_Lb_contribution,neighbor_P_R_contribution,reconstruction,observed_response_contrast,delta_P_A,delta_P_L,delta_P_Lb,delta_P_R
clifford_z,haar_or_clifford_2design,0.0,-0.0507036312066,0.0,-0.0563595497784,-0.107063180985,-0.107063180985,0.0,0.126635409461,0.0935253038374,0.140759559404
clifford_z,cartan_xy_pi8,0.0,-0.0422530260055,0.00779377531978,-0.046966299907,-0.0814255505927,-0.0825363525663,0.0,0.126635409461,0.0935253038374,0.140759559404
clifford_z,cartan_xx_pi4,0.0,-0.0563373680074,0.0207834008528,-0.0626217332093,-0.0981757003639,-0.0973015724913,0.0,0.126635409461,0.0935253038374,0.140759559404
floquet_cartan_z,haar_or_clifford_2design,0.0,-0.0539585833928,0.0,-0.0541641159563,-0.108122699349,-0.108122699349,0.0,0.134764294542,0.120103595779,0.135277209732
floquet_cartan_z,cartan_xy_pi8,0.0,-0.0449654861607,0.0100086329816,-0.0451367632961,-0.0800936164752,-0.0985805295422,0.0,0.134764294542,0.120103595779,0.135277209732
floquet_cartan_z,cartan_xx_pi4,0.0,-0.0599539815476,0.0266896879508,-0.0601823517444,-0.0934466453412,-0.089849420295,0.0,0.134764294542,0.120103595779,0.135277209732
haar_random_pauli,haar_or_clifford_2design,0.0,-0.0336534820214,0.0,-0.0377383034427,-0.0713917854642,-0.0713917854642,0.0,0.0840118977898,0.0610417751643,0.0942136453883
haar_random_pauli,cartan_xy_pi8,0.0,-0.0280445683512,0.00508681459702,-0.0314485862022,-0.0544063399564,-0.0688050373297,0.0,0.0840118977898,0.0610417751643,0.0942136453883
haar_random_pauli,cartan_xx_pi4,0.0,-0.0373927578016,0.0135648389254,-0.0419314482693,-0.0657593671455,-0.0648048977792,0.0,0.0840118977898,0.0610417751643,0.0942136453883
haar_weak_z_eta06,haar_or_clifford_2design,0.0,-0.0250220518962,0.0,-0.0267374584506,-0.0517595103467,-0.0517595103467,0.0,0.0624584762053,0.0314112142617,0.0667407500563
haar_weak_z_eta06,cartan_xy_pi8,0.0,-0.0208517099135,0.00261760118848,-0.0222812153755,-0.0405153241005,-0.0496014295922,0.0,0.0624584762053,0.0314112142617,0.0667407500563
haar_weak_z_eta06,cartan_xx_pi4,0.0,-0.0278022798846,0.00698026983593,-0.0297082871677,-0.0505302972163,-0.0520453354777,0.0,0.0624584762053,0.0314112142617,0.0667407500563
haar_z,haar_or_clifford_2design,0.0,-0.0464544178617,0.0,-0.051339749005,-0.0977941668667,-0.0977941668667,0.0,0.115995940708,0.0653816229943,0.128193227025
haar_z,cartan_xy_pi8,0.0,-0.0387120148848,0.00544903683463,-0.0427831241708,-0.0760461022209,-0.0891848730964,0.0,0.115995940708,0.0653816229943,0.128193227025
haar_z,cartan_xx_pi4,0.0,-0.0516160198464,0.0145307652258,-0.0570441655612,-0.0941294201819,-0.0884687205502,0.0,0.115995940708,0.0653816229943,0.128193227025
